sure,ayet_no,kac_kez,ayet_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Hicr,99,15,Ölüm gelinceye kadar Rabbine ibadet et,"Ramazan, Oruç ve Bayramlar",23.06.2017,ÖMRÜMÜZÜ RAMAZAN KILABİLMEK
Hicr,99,15,Ölüm sana gelinceye kadar Rabbine ibadet et.,"Sabır, Tevekkül ve Manevi Olgunluk",27.12.2024,"HATA YAPANLARIN EN HAYIRLISI, HATASINA TÖVBE EDENDİR"
Hicr,99,15,Ölüm sana ulaşıncaya kadar Rabbine ibadet et.,"Ramazan, Oruç ve Bayramlar",28.03.2025,RAMAZAN’A VEDA EDERKEN
Maide,32,11,"Kim bir canı kurtarırsa, bütün insanların hayatını kurtarmış gibi olur","Kandiller, Muharrem ve Mübarek Geceler",01.03.2019,BEREKET MEVSİMİ: ÜÇ AYLAR
Maide,32,11,"…Kim, bir cana kıyarsa bütün insanları katletmiş gibidir.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",06.01.2017,"GÜN, TERÖRE KARŞI YEKVÜCUT OLMA GÜNÜDÜR"
Maide,32,11,"Bir insanı öldüren bütün insanları öldürmüş, bir canı kurtaran da bütün insanları kurtarmış gibi olur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",10.04.2015,HZ. PEYGAMBER VE BİRLİKTE YAŞAMA AHLAKI
Maide,32,11,"Kim, bir canı kurtarırsa bütün insanların hayatını kurtarmış gibi olur.","Afet, Kriz ve Sağlık",11.11.2022,ÖNCE TEDBİR SONRA TEVEKKÜL
Maide,32,11,"…Bir cana kıymaya veya yeryüzünde fesat çıkarmaya karşılık olması dışında, kim bir insanı öldürürse bütün insanları öldürmüş gibi olur. Kim de bir insanı kurtarırsa bütün insanları kurtarmış gibi olur...","Toplumsal Dayanışma, Merhamet ve Kardeşlik",13.09.2019,HER CAN DOKUNULMAZDIR
Maide,32,11,"Her kim haksız yere bir cana kıyarsa, bir insanı öldürürse bütün insanları öldürmüş gibidir.","Vatan, Millet ve Tarih",16.12.2016,HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.
Maide,32,11,"Bir cana kıymaya veya yeryüzünde fesat çıkarmaya karşılık olması dışında, kim bir insanı öldürürse bütün insanları öldürmüş gibi olur. Kim de bir canı kurtarırsa bütün insanların hayatını kurtarmış gibi olur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",18.10.2019,KUL VE KAMU HAKKI
Maide,32,11,"…Bir cana kıymaya veya yeryüzünde fesat çıkarmaya karşılık olması dışında, kim bir kimseyi öldürürse bütün insanları öldürmüş gibi olur. Kim de bir can kurtarırsa bütün insanların hayatını kurtarmış gibi olur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",19.11.2021,ŞİDDET İNSAN ONURUYLA ASLA BAĞDAŞMAZ
Maide,32,11,"Bir cana kıymaya veya yeryüzünde fesat çıkarmaya karşılık olması dışında, kim bir insanı öldürürse bütün insanları öldürmüş gibi olur. Kim de bir canı kurtarırsa bütün insanların hayatını kurtarmış gibi olur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",22.07.2022,HER CAN MUKADDESTİR
Maide,32,11,"Kim, bir cana kıymamış ya da yeryüzünde bozgunculuk yapmamış olan bir insanı öldürürse, sanki bütün insanları öldürmüş gibidir.",İslam Coğrafyası ve Küresel Meseleler,23.08.2013,"İNSANIN KATLİ, İNSANLIĞIN KATLİDİR"
Maide,32,11,Bir insanı öldüren bütün insanları öldürmüş gibidir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",31.05.2024,HARAM: ALLAH İLE KUL ARASINDAKİ EN BÜYÜK ENGEL
Alak,1,10,"Yaratan Rabbinin adıyla oku. O, insanı ana rahmine tutunan, döllenmiş bir yumurtadan yarattı. Oku! Kalemle yazmayı öğreten, insana bilmediğini bildiren Rabbin sonsuz kerem sahibidir.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",02.10.2015,YARATAN RABBİNİN ADIYLA OKU!
Alak,1,10,Yaratan Rabbinin adıyla oku!,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",05.09.2025,İLİM HAKKI BİLMEKTİR
