sure,ayet_no,kac_kez,ayet_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Bakara,286,6,Rabbimiz! Bizi bağışla! Bize merhamet et! Rahmetinle muamele eyle! Sen bizim sahibimiz ve yardımcımızsın; kâfirlere karşı bize yardım et!,İbadet ve Kulluk,03.05.2024,DUA: RABBİMİZE SIĞINMANIN SÖZLÜ İFADESİ
Bakara,286,6,Rabbimiz! Unutur ve hata edersek bizi sorumlu tutma!,"İman, Tevhid ve Ahiret",06.10.2017,"ALLAH’I UNUTANLAR, UNUTULURLAR"
Bakara,286,6,"Ey Rabbimiz! Unutur, ya da yanılırsak bizi sorumlu tutma! Ey Rabbimiz! Bize, bizden öncekilere yüklediğin gibi ağır yük yükleme. Ey Rabbimiz! Bize gücümüzün yetmediği şeyleri yükleme!","Sabır, Tevekkül ve Manevi Olgunluk",10.04.2020,"İNSAN, SORUMLULUK SAHİBİDİR"
Bakara,286,6,"Ey Rabbimiz! Unutur veya yanılırsak bizi sorumlu tutma. Ey Rabbimiz! Bize, bizden öncekilere yüklediğin gibi ağır yük yükleme. Ey Rabbimiz! Bize gücümüzün yetmediği şeyleri yükleme. Bizi affet, bizi bağışla ve bize acı. Sen bizim Mevlâmızsın. Kâfirler topluluğuna karşı bize yardım et.","Ahlak, Erdem ve Söz",13.04.2018,MİRAÇ KANDİLİ: KULUN ALLAH'A YAKIN OLMA ÇABASI
Bakara,286,6,"Ey Rabbimiz! Unutur veya yanılırsak bizi sorumlu tutma. Ey Rabbimiz! Bize, bizden öncekilere yüklediğin gibi ağır yük yükleme. Ey Rabbimiz! Bize gücümüzün yetmediği şeyleri yükleme. Bizi affet, bizi bağışla ve bize acı. Sen bizim Mevlâmızsın. Kâfirler topluluğuna karşı bize yardım et.","Kandiller, Muharrem ve Mübarek Geceler",23.05.2014,MİRAÇ KANDİLİ
Enbiya,92,6,Doğrusu sizin ümmetiniz yani İslam ümmeti bir tek ümmettir. Ben de sizin Rabbinizim. Öyleyse bana ibadet ediniz,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",04.11.2016,ÖRNEK ÜMMET OLABİLMEK
Enbiya,92,6,"Doğrusu ümmetiniz, tek bir ümmettir. Ben de sizin Rabbinizim. Öyleyse bana ibadet edin.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",08.12.2023,"BİZ, TEK BİR ÜMMETİZ"
Enbiya,92,6,Doğrusu sizin ümmetiniz bir tek ümmettir. Ben de sizin Rabbinizim. Öyleyse bana kulluk edin.,"İman, Tevhid ve Ahiret",10.04.2026,İSLAM
Enbiya,92,6,Doğrusu ümmetiniz tek bir ümmettir. Ben de sizin Rabbinizim. Öyleyse bana ibadet edin.,İslam Coğrafyası ve Küresel Meseleler,11.04.2025,"ÜMMET OLMAK, BİRLİK OLMAKTIR"
Enbiya,92,6,"Sizin ümmetiniz, tek bir ümmettir. Ben de sizin Rabbinizim. Öyleyse bana ibadet edin.",İbadet ve Kulluk,14.06.2024,"İNSANI İHYA, TOPLUMU İNŞA EDEN İBADET: HAC"
Enbiya,92,6,"Doğrusu sizin ümmetiniz, bir tek ümmettir. Ben de sizin Rabbinizim. Öyleyse bana ibadet ediniz.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",15.04.2016,TEVHİD VE VAHDET MEDENİYETİ
Hadid,4,6,"Nerede olursanız olun, O sizinle beraberdir. Allah, yaptıklarınızı hakkıyla görendir.","Sabır, Tevekkül ve Manevi Olgunluk",02.10.2020,MURAKABE VE MUHASEBE BİLİNCİ
Hadid,4,6,Nerede olursanız olun Allah sizinle beraberdir.,"Ahlak, Erdem ve Söz",06.06.2025,MÜSLÜMANIN BİR DURUŞU VARDIR
Hadid,4,6,Nerede olursanız olun Allah sizinle beraberdir.,İbadet ve Kulluk,07.04.2023,İHSAN BİLİNCİ: KULLUĞUN ZİRVESİ
Hadid,4,6,Her nerede olursanız olun Allah sizinledir. Her ne yaparsanız Allah onu görendir.,İbadet ve Kulluk,07.08.2015,KULLUĞUN ÖZÜ: İHSAN
Hadid,4,6,Nerede olursanız olun O sizinle beraberdir. Allah yaptıklarınızı görmektedir,İbadet ve Kulluk,11.01.2019,"İNSANIN KEMAL YOLCULUĞU: İSLAM, İMAN VE İHSAN"
Hadid,4,6,"Nerede olursanız olun, Allah sizinle beraberdir.","Sabır, Tevekkül ve Manevi Olgunluk",29.12.2023,MUHASEBE BİLİNCİYLE BİR ÖMÜR GEÇİRMEK
Necm,39,6,İnsan için ancak çalışmasının karşılığı vardır. Çabası görülecek ve çalışmasının karşılığı kendisine mutlaka verilecektir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",13.05.2022,İŞ VE ÇALIŞMA AHLAKI
Necm,39,6,İnsan için ancak çalıştığının karşılığı vardır ve çalıştığını da görecektir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",25.04.2025,ALIN TERİ MUKADDESTİR
Necm,39,6,İnsan için ancak çalıştığı vardır. Şüphesiz onun çalışması ileride görülecektir. Sonra çalışmasının karşılığı kendisine tastamam verilecektir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",26.09.2014,İŞ VE TİCARET AHLAKI-ÂHİLİK
Necm,39,6,İnsan için ancak çalıştığının karşılığı vardır ve çalışmasının karşılığı ileride mutlaka görülecektir.,"Sabır, Tevekkül ve Manevi Olgunluk",27.03.2026,TEVEKKÜL
Necm,39,6,İnsan için ancak çalıştığının karşılığı vardır ve çalıştığını da görecektir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",28.04.2023,İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI
Necm,39,6,İnsan için ancak çalıştığı vardır. Şüphesiz onun çalışması ileride görülecektir. Sonra çalışmasının karşılığı kendisine tastamam verilecektir.,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",31.08.2018,"ÇALIŞMAK, HAYATIMIZA BEREKET GETİRİR"
Rum,41,6,İnsanların kendi elleriyle yapıp ettikleri yüzünden karada ve denizde düzen bozuldu; böylece Allah dönüş yapsınlar diye işlediklerinin bir kısmını onlara tattırıyor.,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",03.06.2022,ÇEVREYE VEFA MÜMİNİN ŞİARIDIR
Rum,41,6,"İnsanların kendi elleriyle yapıp ettikleri yüzünden karada ve denizde düzen bozuldu; böylece Allah, hata ve yanlışlarından vazgeçsinler diye işlediklerinin bir kısmını onlara tattırıyor.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",04.10.2019,DÜNYA EVİMİZ BİZE EMANETTİR
Rum,41,6,İnsanların kendi elleriyle yapıp ettikleri yüzünden karada ve denizde düzen bozuldu.,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",09.06.2023,RABBİMİZ ÇEVRE İLE BİZLERE NE ÖĞRETİR?
Rum,41,6,İnsanların kendi elleriyle yapıp ettikleri yüzünden karada ve denizde düzen bozuldu; böylece Allah yanlış yoldan dönsünler diye işlediklerinin bir kısmını onlara tattırıyor.,"Afet, Kriz ve Sağlık",11.11.2022,ÖNCE TEDBİR SONRA TEVEKKÜL
Rum,41,6,İnsanların kendi elleriyle yapıp ettikleri yüzünden karada ve denizde düzen bozuldu; böylece Allah dönüş yapsınlar diye işlediklerinin bir kısmını onlara tattırıyor.,"Afet, Kriz ve Sağlık",16.08.2019,GÜVENLİ BİR HAYAT İÇİN AFETLERE HAZIR OLALIM
Rum,41,6,İnsanların kendi elleriyle yapıp ettikleri yüzünden karada ve denizde düzen bozuldu; böylece Allah -dönüş yapsınlar diye- işlediklerinin bir kısmını onlara tattırıyor.,"Afet, Kriz ve Sağlık",27.03.2020,ZORLUKLAR KARŞISINDA MÜMİN
Tahrim,6,6,Ey iman edenler! Kendinizi ve ailenizi yakıtı insanlar ve taşlar olan ateşten koruyun,Kur'an-ı Kerim,03.07.2026,YAZ KUR’AN KURSLARI
Tahrim,6,6,Ey iman edenler! Kendinizi ve ailenizi yakıtı insanlar ve taşlar olan cehennem ateşinden koruyun…,"Vatan, Millet ve Tarih",15.07.2022,15 TEMMUZ: BİRLİK VE BERABERLİĞİN ZAFERİ
Tahrim,6,6,Ey iman edenler! Kendinizi ve ailenizi yakıtı insanlar ve taşlar olan ateşten koruyun…,"Vatan, Millet ve Tarih",17.04.2026,"BİRBİRİMİZE KENETLENELİM, SORUMLULUKLARIMIZI İDRAK EDELİM"
Tahrim,6,6,Ey iman edenler! Kendinizi ve ailenizi cehennem ateşinden koruyun.,"Aile, Çocuk ve Nesil",17.06.2022,"HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL"
Tahrim,6,6,Ey iman edenler! Kendinizi ve ailenizi yakıtı insanlar ve taşlar olan cehennem ateşinden koruyun…,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",21.06.2024,YAZA KUR’AN’LA MERHABA
Tahrim,6,6,"Ey iman edenler! Kendinizi ve ailenizi, yakıtı insanlar ve taşlar olan cehennem ateşinden koruyun…","Afet, Kriz ve Sağlık",23.02.2018,BAĞIMLILIK BİR TUZAKTIR
İsra,70,6,Andolsun biz insanoğlunu şerefli kıldık.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",02.12.2022,"ENGEL OLMA, FARKINDA OL"
İsra,70,6,"Andolsun biz insanoğluna şan, şeref ve nimetler verdik; onları karada ve denizde taşıdık, kendilerine güzel güzel rızıklar verdik ve onları yarattıklarımızın çoğundan üstün kıldık.","Afet, Kriz ve Sağlık",04.03.2022,BAĞIMLILIK: İNSAN ONURUYLA BAĞDAŞMAYAN HASTALIK
İsra,70,6,"Andolsun, biz insanoğlunu şerefli kıldık. Onları karada ve denizde taşıdık. Kendilerini en güzel ve temiz şeylerden rızıklandırdık ve onları yarattıklarımızın birçoğundan üstün kıldık.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",05.04.2013,MÜKERREM BİR VARLIK OLARAK İNSAN
İsra,70,6,"Andolsun, biz insanoğlunu şerefli kıldık. Onları karada ve denizde taşıdık. Kendilerini temiz şeylerle rızıklandırdık ve onları yarattıklarımızın birçoğundan üstün kıldık.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",06.11.2015,HER İNSAN ALLAH’IN BİR ÂYETİDİR!
İsra,70,6,"Andolsun, biz insanoğlunu şerefli kıldık.",Peygamberimiz ve Ashab,12.04.2013,PEYGAMBERİMİZ VE İNSAN ONURU
İsra,70,6,"Andolsun biz insanoğlunu şerefli bir varlık olarak yarattık. Onları karada ve denizde gezdirdik, kendilerine güzel güzel rızıklar verdik ve onları yarattıklarımızın çoğundan üstün kıldık.","Aile, Çocuk ve Nesil",29.10.2021,"YAŞLILARIMIZA VEFA, RAHMET VE MAĞFİRET VESİLEMİZDİR"
Al-i İmran,105,5,Kendilerine apaçık deliller geldikten sonra parçalanıp ayrılığa düşenler gibi olmayın…,"Kandiller, Muharrem ve Mübarek Geceler",02.12.2011,KERBELA’YI ANLAMAK
Al-i İmran,105,5,Kendilerine apaçık deliller geldikten sonra parçalanıp ayrılığa düşenler gibi olmayın...,"Kandiller, Muharrem ve Mübarek Geceler",05.08.2022,MUHARREM AYI VE KERBELÂ
Al-i İmran,105,5,Kendilerine apaçık deliller geldikten sonra parçalanıp ayrılığa düşenler gibi olmayın…,"Kandiller, Muharrem ve Mübarek Geceler",08.11.2013,MUHARREM AYI VE KERBELÂ
Al-i İmran,105,5,Kendilerine apaçık deliller geldikten sonra parçalanıp ayrılığa düşenler gibi olmayın,"Kandiller, Muharrem ve Mübarek Geceler",19.06.2026,BİRLİKTE RAHMET VARDIR
Al-i İmran,105,5,Kendilerine apaçık deliller geldikten sonra parçalanıp ayrılığa düşenler gibi olmayın…,"Kandiller, Muharrem ve Mübarek Geceler",31.10.2014,ORTAK HÜZÜN VE İBRET AYI: MUHARREM
Al-i İmran,147,5,"Ey Rabbimiz! Bizim günahlarımızı ve işlerimizdeki taşkınlıklarımızı bağışla! Ayaklarımızı dinin üzere sabit kıl! Ve kâfirler güruhuna karşı bize yardım et, bize zafer ihsan eyle!","İman, Tevhid ve Ahiret",17.11.2017,ALLAH KATINDA DİN İSLAM’DIR
Al-i İmran,147,5,"Ey Rabbimiz! Bizim günahlarımızı ve işlerimizdeki taşkınlıklarımızı bağışla! Ayaklarımızı dinin üzere sabit kıl! Ve Kâfirler güruhuna karşı bize yardım eyle, bize zafer ihsan eyle!","Ahlak, Erdem ve Söz",22.08.2014,HAYÂ HAYATTIR!
Al-i İmran,147,5,"Ey Rabbimiz! Günahlarımızı, işimizdeki israf ve taşkınlığı bağışla!","Ekonomik Hayat: Kazanç, Zekat ve İsraf",25.01.2013,ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF
Al-i İmran,147,5,"Ey Rabbimiz! Günahlarımızı ve taşkınlıklarımızı bağışla! Ayaklarımızı dinin üzere sabit kıl! Ve Kâfirler güruhuna karşı bize yardım eyle, bize zafer ihsan eyle!","Vatan, Millet ve Tarih",25.08.2017,ZAFERLER ALLAH'TANDIR (MALAZGİRT ZAFERİ)
Al-i İmran,147,5,"Ey Rabbimiz! Bizim günahlarımızı ve işlerimizdeki taşkınlıklarımızı bağışla! Ayaklarımızı dinin üzere sabit kıl! Ve Kâfirler güruhuna karşı bize yardım eyle, bize zafer ihsan eyle!","Vatan, Millet ve Tarih",29.08.2014,ZAFERLER ALLAH’TANDIR
Ankebut,45,5,"Kitaptan sana vahyolunanı oku, namazı da dosdoğru kıl. Çünkü namaz, insanı hayâsızlıktan ve kötülükten meneder…",İbadet ve Kulluk,09.12.2022,HAYDİ NAMAZA! HAYDİ KURTULUŞA!
Ankebut,45,5,"(Ey Muhammed!) Kitaptan sana vahyolunanı oku, namazı da dosdoğru kıl. Çünkü namaz, insanı hayâsızlıktan ve kötülükten alıkor. Allah'ı anmak (olan namaz) elbette en büyük ibadettir. Allah yaptıklarınızı biliyor.",İbadet ve Kulluk,16.01.2015,"BİR TEKELLÜF DEĞİL, NİMET OLARAK NAMAZ"
Ankebut,45,5,"Kitaptan sana vahyedilenleri oku, namazını da özenle kıl. Çünkü namaz hayâsızlıktan ve kötülükten alıkoyar...","Kandiller, Muharrem ve Mübarek Geceler",24.01.2025,"MİRACIN HEDİYESİ, DİNİMİZİN DİREĞİ NAMAZ"
Ankebut,45,5,Sana vahyedilen Kitabı oku. Namazı da hakkını vererek kıl. Kuşkusuz namaz hayâsızlıktan ve kötülükten alıkoyar…,İbadet ve Kulluk,27.05.2016,NAMAZ ARINMADIR
Ankebut,45,5,"Muhakkak ki, namaz, hayâsızlıktan ve kötülükten alıkoyar","Kandiller, Muharrem ve Mübarek Geceler",29.03.2019,MİRAÇ GECESİ
Bakara,152,5,Siz beni anın ki ben de sizi anayım.,İbadet ve Kulluk,02.06.2023,KALPLER ALLAH’I ZİKRETMEKLE HUZURA KAVUŞUR
Bakara,152,5,"Beni anın ki Ben de sizi anayım. Bana şükredin, nankörlük etmeyin.","Sabır, Tevekkül ve Manevi Olgunluk",06.02.2015,ŞÜKÜR NİMETLERİ ARTIRIR
Bakara,152,5,"Artık siz beni anın ki ben de sizi anayım. Bana şükredin, bana nankörlük etmeyin!","İman, Tevhid ve Ahiret",06.05.2022,ŞÜKÜR SANA EY ŞEKÛR
Bakara,152,5,Siz beni anın ki ben de sizi anayım.,"İman, Tevhid ve Ahiret",13.01.2023,EN GÜZEL İSİMLER ALLAH’A AİTTİR
Bakara,152,5,"Artık siz beni anın ki ben de sizi anayım. Bana şükredin, nankörlük etmeyin!","Sabır, Tevekkül ve Manevi Olgunluk",14.08.2020,ŞÜKREDEN HUZUR BULUR
Bakara,183,5,"Ey iman edenler! Allah'a karşı gelmekten sakınmanız için oruç, sizden öncekilere farz kılındığı gibi, size de farz kılındı.","Ramazan, Oruç ve Bayramlar",05.07.2013,RAMAZAN VE ORUÇ
Bakara,183,5,"Ey iman edenler! Oruç, sizden öncekilere farz kılındığı gibi size de farz kılındı. Umulur ki takva sahibi olursunuz.","Ramazan, Oruç ve Bayramlar",13.02.2026,RAMAZAN İKLİMİ
Bakara,183,5,"Ey iman edenler! Kötülüklerden sakınmanız için oruç, sizden öncekilere farz kılındığı gibi, size de farz kılındı.","Ramazan, Oruç ve Bayramlar",20.07.2012,“BEN ORUÇLUYUM” DİYEBİLMEK
Bakara,183,5,Ey iman edenler! Sizden öncekilere farz kılındığı gibi size de oruç farz kılındı. Umulur ki takva sahibi olursunuz.,"Aile, Çocuk ve Nesil",24.04.2020,RAMAZAN: SABIR VE İRADE EĞİTİMİ
Bakara,183,5,"Ey iman edenler! Kötülüklerden sakınmanız için oruç, sizden öncekilere farz kılındığı gibi, size de farz kılındı.","Ramazan, Oruç ve Bayramlar",25.05.2018,ORUÇ VE KUR’ÂN AYI RAMAZAN
Maide,2,5,"…İyilikte ve takvada yardımlaşın, kötülükte ve düşmanlıkta yardımlaşmayın...","Aile, Çocuk ve Nesil",04.04.2025,GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANIN ROLÜ
Maide,2,5,"İyilik ve takvada yardımlaşın, günah ve haksızlıkta yardımlaşmayın.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",10.05.2024,"MEDENİYETİMİZ, VAKIF MEDENİYETİDİR"
Maide,2,5,"...İyilik ve takvâ hususunda yardımlaşın, günah ve haksızlık yolunda yardımlaşmayın…","Ahlak, Erdem ve Söz",11.10.2024,KÖTÜLÜĞE İYİLİKLE ENGEL OLALIM
Maide,2,5,İyilik ve takvada yardımlaşın. Günah ve düşmanlıkta yardımlaşmayın. Allah'a karşı gelmekten sakının. Çünkü Allah'ın cezası çok şiddetlidir.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",21.11.2014,HAYIR HAZİNELER DOLUSUDUR
Maide,2,5,İyilik ve takva (Allah'a karşı gelmekten sakınma) üzere yardımlaşın. Ama günah ve düşmanlık üzere yardımlaşmayın. Allah'a karşı gelmekten sakının. Çünkü Allah'ın cezası çok şiddetlidir.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",27.06.2014,"KİMSE KİMSESİZ KALMASIN, BU RAMAZAN VE HER ZAMAN!"
Maide,90,5,Şeytan işi bir pisliktir.,"İman, Tevhid ve Ahiret",21.02.2025,GAYBIN BİLGİSİ YALNIZCA ALLAH’A AİTTİR
Maide,90,5,"Ey iman edenler! İçki ve benzeri şeyler, kumar, dikili taşlar ve fal okları ancak, şeytan işi birer pisliktir. Onlardan kaçının ki kurtuluşa eresiniz.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",22.12.2017,HELAL HARAM DUYARLILIĞI
Maide,90,5,"Ey iman edenler! İçki, kumar, dikili taşlar ve fal okları, şeytan işi birer pisliktir. Onlardan uzak durun ki kurtuluşa eresiniz.","Afet, Kriz ve Sağlık",27.02.2026,BAĞIMLILIKLA MÜCADELEDE RAMAZAN BİR FIRSATTIR
Maide,90,5,"Ey iman edenler! İçki, kumar, dikili taşlar ve fal okları ancak şeytan işi birer pisliktir. Onlardan kaçının ki kurtuluşa eresiniz","Sabır, Tevekkül ve Manevi Olgunluk",28.12.2018,BİR ÖMÜR SORUMLULUK BİLİNCİYLE YAŞAMAK
Maide,90,5,"Ey iman edenler! İçki, kumar, dikili taşlar ve fal okları ancak şeytan işi birer pisliktir. Bunlardan kaçının ki kurtuluşa eresiniz.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",29.11.2024,MADDİ VE MANEVİ TÜKENİŞ: KUMAR
Nahl,97,5,"Erkek veya kadın, kim mü'min olarak salih amel işlerse, elbette ona çok güzel bir hayat yaşatacağız ve onların mükafatlarını yapmakta olduklarının en güzeli ile vereceğiz.","İman, Tevhid ve Ahiret",08.08.2014,"SADIK İMAN, SAMİMİ NİYET, SALİH AMEL"
Nahl,97,5,"Erkek ya da kadın, kim mümin olarak salih amel işlerse, elbette ona hoş bir hayat yaşatacağız ve onların mükâfatlarını yaptıklarına karşılık olarak en güzeliyle vereceğiz.","İman, Tevhid ve Ahiret",12.04.2019,İMANIN HAYATIMIZDAKİ YANSIMALARI
Nahl,97,5,"Erkek veya kadın, mümin olarak kim iyi amel işlerse, onu mutlaka güzel bir hayat ile yaşatırız. Ve mükâfatlarını, elbette yapmakta olduklarının en güzeli ile veririz.",İbadet ve Kulluk,12.11.2021,İBADET: ALLAH İLE KUL ARASINDAKİ KUTLU BAĞ
Nahl,97,5,"Erkek ya da kadın, kim mümin olarak salih amel işlerse, elbette ona huzurlu bir hayat yaşatacağız ve onların mükâfatlarını yaptıklarına karşılık olarak en güzeliyle vereceğiz.","Ahlak, Erdem ve Söz",17.11.2023,"İMAN, İBADET VE AHLAK BÜTÜNLÜĞÜ"
Nahl,97,5,"Erkek ya da kadın, kim mümin olarak salih amel işlerse, elbette ona hoş bir hayat yaşatacağız ve onların mükafatlarını yapmakta olduklarının en güzeliyle vereceğiz.","İman, Tevhid ve Ahiret",27.07.2018,İMAN-AMEL İLİŞKİSİ
Nur,30,5,"Mümin kadınlara da söyle, gözlerini haramdan sakınsınlar, iffet ve namuslarını korusunlar. Kendiliğinden görünen yerler dışında ziynetlerini göstermesinler. Başörtülerini yakalarının üzerine salsınlar...","Ahlak, Erdem ve Söz",01.08.2025,"HAYÂ: ALLAH’IN EMRİ, FITRATIN GEREĞİ"
Nur,30,5,"Söyle müminlere, gözlerini muhafaza etsinler.","Ahlak, Erdem ve Söz",08.01.2016,EDEP VE HAYÂ
Nur,30,5,"Mümin erkeklere söyle, gözlerini haramdan sakınsınlar, iffetlerini korusunlar","Ahlak, Erdem ve Söz",25.01.2019,İSLAM AHLÂKININ ÖZÜ HAYÂDIR
Nur,30,5,"Mümin erkeklere söyle, gözlerini haramdan sakınsınlar, ırzlarını korusunlar.","Ahlak, Erdem ve Söz",26.07.2019,BEDEN MAHREMİYETİ VE TESETTÜR
Nur,30,5,"Mümin erkeklere söyle, gözlerini haramdan sakınsınlar ve iffetlerini korusunlar… Mümin kadınlara da söyle, gözlerini haramdan sakınsınlar ve iffetlerini korusunlar…","Ekonomik Hayat: Kazanç, Zekat ve İsraf",31.07.2026,HELAL HARAM DUYARLILIĞI
Taha,132,5,"Ailene namazı emret, kendin de ona sabırla devam et",İbadet ve Kulluk,09.01.2026,NAMAZ
Taha,132,5,"Ailene namazı emret, kendin de namaz kılmaya devam et.",İbadet ve Kulluk,12.04.2024,GÖZÜMÜZÜN NURU: NAMAZ
Taha,132,5,"Ailene namazı emret, kendin de ona sabırla devam et.","Aile, Çocuk ve Nesil",12.09.2025,PEYGAMBERİMİZ VE AİLE AHLAKI
Taha,132,5,Ailene namazı emret; kendin de ona sabırla devam et.,"Aile, Çocuk ve Nesil",17.04.2020,AİLE: HUZUR VE GÜVEN KAYNAĞI
Taha,132,5,"Ailene namazı emret, kendin de namaz kılmaya devam et.","Kandiller, Muharrem ve Mübarek Geceler",24.01.2025,"MİRACIN HEDİYESİ, DİNİMİZİN DİREĞİ NAMAZ"
İsra,14,5,Oku şimdi amel defterini! Bugün sana hesap sorucu olarak kendi nefsin yeter!,"İman, Tevhid ve Ahiret",01.07.2022,AHİRET GÜNÜ VE HESAP VERME BİLİNCİ
İsra,14,5,Kitabını oku! Bugün sana hesap sorucu olarak kendi nefsin yeter.,"İman, Tevhid ve Ahiret",18.08.2023,AHİRET: EBEDİ YURDUMUZ
İsra,14,5,Kitabını oku! Bugün sana hesap sorucu olarak kendi nefsin yeter.,"İman, Tevhid ve Ahiret",24.12.2021,AHİRET DAHA HAYIRLI VE SÜREKLİDİR
İsra,14,5,Oku şimdi kitabını! Bugün hesap sorucu olarak sana nefsin yeter.,"Ahlak, Erdem ve Söz",26.11.2021,MÜMİN FAYDASIZ SÖZLERDEN VE LÜZUMSUZ İŞLERDEN UZAK DURUR
İsra,14,5,Oku kitabını! Bugün sana hesap sorucu olarak nefsin yeter.,"Sabır, Tevekkül ve Manevi Olgunluk",29.12.2023,MUHASEBE BİLİNCİYLE BİR ÖMÜR GEÇİRMEK
İsra,32,5,"Zinaya yaklaşmayın. Çünkü o, hayâsızlıktır, çok kötü ve çirkin bir yoldur.","Aile, Çocuk ve Nesil",02.05.2025,NEFSİ VE NESLİ İFSAT EDEN BÜYÜK GÜNAH: ZİNA
İsra,32,5,"Zinaya yaklaşmayın. Çünkü o, son derece çirkin bir iştir ve çok kötü bir yoldur.","Aile, Çocuk ve Nesil",12.05.2023,"KADIN VE ERKEK: HÜRMETE LAYIK, SAYGIN VARLIK"
İsra,32,5,"Zinaya yaklaşmayın. Çünkü o, son derece çirkin bir iştir ve çok kötü bir yoldur.","Aile, Çocuk ve Nesil",12.09.2025,PEYGAMBERİMİZ VE AİLE AHLAKI
İsra,32,5,"Zinaya yaklaşmayın. Çünkü o, son derece çirkin bir iştir ve çok kötü bir yoldur.","Ahlak, Erdem ve Söz",25.01.2019,İSLAM AHLÂKININ ÖZÜ HAYÂDIR
İsra,32,5,"Zinaya yaklaşmayın. Çünkü o, son derece çirkin bir iştir","Ekonomik Hayat: Kazanç, Zekat ve İsraf",31.07.2026,HELAL HARAM DUYARLILIĞI
İsra,36,5,"Hakkında kesin bilgi sahibi olmadığın şeyin peşine düşme. Çünkü kulak, göz ve kalp, bunların hepsi ondan sorumludur","Ahlak, Erdem ve Söz",04.01.2019,ÖZÜ SÖZÜ DOĞRU OLMAK
İsra,36,5,"Hakkında bilgin bulunmayan şeyin ardına düşme. Çünkü kulak, göz ve gönül, bunların hepsi ondan sorumludur.","Ahlak, Erdem ve Söz",04.09.2015,"KARDEŞLİĞİ KÖRELTEN AFETLER: TECESSÜS, SU-İ ZAN…"
İsra,36,5,"Hakkında kesin bilgi sahibi olmadığın şeyin peşine düşme. Çünkü kulak, göz ve kalp, bunların hepsi ondan sorumludur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",09.08.2019,MÜMİN: HUZURLU TOPLUMUN TEMİNATI
İsra,36,5,"Hakkında kesin bilgi sahibi olmadığın şeyin peşine düşme. Çünkü kulak, göz ve kalp, bunların hepsi ondan sorumludur","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",12.09.2014,BİLGİ AHLÂKI
İsra,36,5,"Hakkında kesin bilgi sahibi olmadığın şeyin peşine düşme. Çünkü kulak, göz ve kalp, bunların hepsi ondan sorumludur.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",17.01.2020,TEKNOLOJİ BAĞIMLILIĞI VE SOSYAL MEDYA AHLAKI
A'raf,23,4,Eğer bizi bağışlamaz ve bize acımazsan mutlaka ziyana uğrayanlardan oluruz,"Sabır, Tevekkül ve Manevi Olgunluk",13.11.2015,ZİKİR: KALPLERE HAYAT VEREN İKSİR
A'raf,23,4,Ey Rabbimiz! Biz kendimize zulmettik. Eğer bizi bağışlamaz ve bize acımazsan mutlaka hüsrana uğrayanlardan oluruz,"İman, Tevhid ve Ahiret",14.12.2018,RAHMET VE MAĞFİRET KAPISI: TEVBE
A'raf,23,4,Rabbimiz! Biz kendimize zulmettik. Eğer bizi bağışlamaz ve bize merhamet etmezsen mutlaka hüsrana uğrayanlardan oluruz.,"Sabır, Tevekkül ve Manevi Olgunluk",20.10.2017,MÜMİNCE BİR DURUŞ: TEVEKKÜL
A'raf,23,4,Rabbimiz! Biz kendimize zulmettik. Eğer bizi bağışlamaz ve bize merhamet etmezsen mutlaka ziyan edenlerden oluruz.,"Kandiller, Muharrem ve Mübarek Geceler",30.05.2014,TÖVBE VE İSTİĞFAR MEVSİMİ ÜÇ AYLAR
Al-i İmran,104,4,"İçinizden hayra çağıran, iyiliği emredip kötülükten alıkoyan bir topluluk bulunsun.",İbadet ve Kulluk,06.10.2023,"CAMİLER  VE DİN GÖREVLİLERİ: HAYRIN ANAHTARI, ŞERRİN KİLİDİ"
