kaynak,atif_sayisi
Tirmizî,217
Buhârî,208
Müslim,172
İbn Mâce,69
Ebû Dâvûd,62
Ahmed b. Hanbel,42
Nesâi,22
Dârimî,11
Hakim,8
Beyhakî,8
Taberânî,6
Muvatta,4
Kudâî,4
İbn Hişâm,2
Heysemî,1
Münzirî,1
Süyûtî,1
