primary_category,adet
Dini Gün ve Geceler,112
Ahiret ve İman Esasları,111
Ahlak ve Erdemler,66
Milli ve Tarihi Günler,50
İbadet (Namaz/Oruç/Hac),45
Aile ve Evlilik,40
"Merhamet, Sevgi ve Hoşgörü",35
Toplumsal Dayanışma / Yardımlaşma,33
İslam Coğrafyası / Dış Dünya,27
Ekonomi ve Helal Kazanç,26
İlim ve Eğitim,21
Gençlik,15
Çevre ve Hayvan Hakları,13
Cami ve Cemaat,11
Dijital Dünya / Bağımlılık,9
Afet ve Kriz,8
Sağlık ve Salgın,7
Kadın,6
Engellilik,5
Diğer / Sınıflandırılamadı,4
