isim,kac_kez
Hz. Ömer,22
Hz. Ali,20
Hz. Hüseyin,18
Hz. Hatice,14
Muaz bin Cebel,10
Hz. Fatıma,6
Hz. Aişe,6
Ebu Zer el-Gıffari,5
Hz. Ebu Bekir,5
Enes bin Malik,3
Ümmü Seleme,3
Selman-ı Farisi,3
Hz. Osman,2
Hz. Hamza,2
Bilal-i Habeşi,2
Hz. Hasan,2
Abdullah b. Abbas,2
Hz. Zeynep,1
Abdullah bin Mesud,1
Nevvâs,1
