satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
56,dogru,1.0,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 58; Tirmizi, Hudud, 3.",10.10.2014,10.10.2014 BİZ KARDEŞİZ,metinler,baslik_eslesti,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu yalnızlığa terk etmez. Kim din kardeşinin bir ihtiyacını giderirse, Allah da onun ihtiyacını giderir. Kim bir Müslümanın bir sıkıntısını giderirse, Allah da onun kıyamet sıkıntılarından birini giderir…"
57,kirpilmis_duzeltildi,1.0,Müslim,Birr,Müslim,Birr ve Sıla,2,"Müslim, Birr ve Sıla, 66.",26.06.2015,26.06.2015 TEVHİD İLE GELEN VAHDET,metinler,baslik_eslesti,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da uykusuzluk ve yüksek ateşle bu acıyı paylaşan bir bedene benzer."
58,dogru,1.0,Müslim,Birr,Müslim,Birr,3,"Müslim, Birr, 34.",03.06.2016,03.06.2016 GELİN GÖNÜLLER YAPALIM,metinler,baslik_eslesti,"Allah, sizin suretlerinize ve mallarınıza değil, kalplerinize ve yapmış olduğunuz amellerinize bakar."
59,dogru,1.0,Müslim,Birr,Müslim,Birr,2,"Müslim, Birr, 34.",26.04.2019,26.04.2019 TİCARET HAYATININ BEREKETİ: İŞ AHLAKI,metinler,baslik_eslesti,"Allah sizin suretlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar."
60,dogru,1.0,Müslim,Birr,Müslim,Birr,6,"Müslim, Birr, 69.",20.09.2019,20.09.2019 TEVAZU İNSANI YÜCELTİR,metinler,baslik_eslesti,"…Allah, bir kulun hoşgörülü olması sebebiyle izzetini artırır, Allah için tevazu gösteren kişiyi ise yüceltir."
61,dogru,0.931,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 59.",18.10.2019,18.10.2019 KUL VE KAMU HAKKI,metinler,baslik_eslesti,"Aksine gerçek müflis şu kimsedir: Kıyamet günü kıldığı namaz, tuttuğu oruç ve verdiği zekâtla gelir. Ancak dünyada iken şuna sövmüş, buna iftira atmış, ötekinin malını yemiş, berikinin kanını dökmüş, bir başkasını dövmüştür. İhlâl ettiği bu hakların karşılığı olarak onun iyiliklerinden alınıp hak sahiplerine verilir. Şayet hesabı görülmeden iyilikleri biterse, mağdur ettiği insanların günahlarında"
62,dogru,1.0,Müslim,Birr,Müslim,Birr,4,"Müslim, Birr, 34.",29.11.2019,29.11.2019 DİNİN ÖZÜ SAMİMİYETTİR,metinler,baslik_eslesti,"Allah sizin görünüşlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar."
63,dogru,1.0,Müslim,Birr,Müslim,Birr,2,"Müslim, Birr, 66.",06.11.2020,06.11.2020 MÜMİN SORUMLULUK SAHİBİDİR,metinler,baslik_eslesti,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir bedene benzer. Öyle bir beden ki, bir uzvu rahatsızlandığında diğer uzuvları da uykusuzluk ve yüksek ateşle bu acıya ortak olur."
64,dogru,1.0,Müslim,Birr,Müslim,Birr,4,"Müslim, Birr, 34.",04.12.2020,29.11.2019 DİNİN ÖZÜ SAMİMİYETTİR,metinler,baslik_eslesti+tarih_duzeltildi,"Allah, sizin görünüşlerinize ve mallarınıza bakmaz, ancak kalplerinize ve amellerinize bakar."
65,dogru,1.0,Müslim,Birr,Müslim,Birr,3,"Müslim, Birr, 66.",13.05.2021,13.05.2021 KUDÜS’ÜN ÖZGÜR OLDUĞU BAYRAMLARA,metinler,baslik_eslesti,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da uykusuzluk ve yüksek ateşle bu acıyı paylaşan bir beden gibidir."
66,dogru,1.0,Müslim,Birr,Müslim,Birr,2,"Müslim, Birr, 66.",06.08.2021,06.08.2021 ZORLUKLAR BİRLİKTE AŞILIR,metinler,baslik_eslesti,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da uykusuzluk ve yüksek ateşle bu acıyı paylaşan bir beden gibidir."
67,dogru,1.0,Müslim,Birr,Müslim,Birr,3,"Müslim, Birr, 32.",24.09.2021,24.09.2021 TAKVA: RABBİMİZİN RIZASINI DİRİ TUTMA Bİ,metinler,baslik_eslesti,İşte takva buradadır.
68,dogru,1.0,Müslim,Birr,Müslim,Birr,2,"Müslim, Birr, 33.",03.12.2021,03.12.2021 ENGELLERİ HEP BİRLİKTE VE SEVGİYLE AŞALI,metinler,baslik_eslesti,"Allah sizin bedenlerinize ve dış görünüşlerinize değil, kalplerinize bakar."
69,dogru,1.0,Müslim,Birr,Müslim,Birr,2,"Müslim, Birr, 15.",11.03.2022,11.03.2022 DÜNYA HAYATI BİR İYİLİK YOLCULUĞUDUR,metinler,baslik_eslesti,İyilik güzel ahlaktır. Kötülük ise vicdanını rahatsız eden ve insanların bilmesini istemediğin şeydir.
70,dogru,1.0,Müslim,Birr,Müslim,Birr,3,"Müslim, Birr, 34.",08.07.2022,08.07.2022 HAC: İLÂHİ DAVET,metinler,baslik_eslesti,"Allah sizin şeklinize ve mallarınıza bakmaz, kalplerinize ve amellerinize bakar."
71,dogru,1.0,Müslim,Birr,Müslim,Birr,4,"Müslim, Birr, 34.",02.12.2022,"02.12.2022 ENGEL OLMA, FARKINDA OL",metinler,baslik_eslesti,"Allah, sizin görünüşünüze ve mallarınıza bakmaz, O ancak kalplerinize ve amellerinize bakar."
72,dogru,1.0,Müslim,Birr,Müslim,Birr,5,"Müslim, Birr, 58.",02.12.2022,"02.12.2022 ENGEL OLMA, FARKINDA OL",metinler,baslik_eslesti,"Kim, kardeşinin ihtiyacını giderirse Allah da onun ihtiyacını giderir."
73,dogru,1.0,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 66.",10.02.2023,"10.02.2023 GÜN, MİLLETÇE KENETLENME GÜNÜDÜR",metinler,baslik_eslesti,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da bu acıyı paylaşan bir beden gibidir."
74,dogru,1.0,Müslim,Birr,Müslim,Birr,2,"Müslim, Birr, 34.",01.12.2023,"01.12.2023 İNSAN, ÖZÜ İTİBARİYLE DEĞERLİDİR",metinler,baslik_eslesti,"Allah sizin görünüşlerinize ve mallarınıza bakmaz, kalplerinize ve davranışlarınıza bakar."
75,dogru,1.0,Müslim,Birr,Müslim,Birr,3,"Müslim, Birr, 10.",26.07.2024,"26.07.2024 CENNET VESİLEMİZ, AİLE BÜYÜKLERİMİZ",metinler,baslik_eslesti,Burnu yerde sürtünsün
76,dogru,1.0,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 15.",07.03.2025,07.03.2025 İYİLİK AYI RAMAZAN,metinler,baslik_eslesti,"İyilik, güzel ahlaktır; kötülük ise, vicdanını rahatsız eden ve insanların bilmesini istemediğin şeydir."
77,dogru,1.0,Müslim,Birr,Müslim,Birr,4,"Müslim, Birr, 66.",30.03.2025,30.03.2025 RAMAZAN BAYRAMI: SEVİNÇ VE KARDEŞLİK GÜN,metinler,baslik_eslesti,"Müminler, birbirini sevmede, birbirine merhamet ve şefkatte, tıpkı bir organı rahatsızlandığında diğer organları da bu acıyı paylaşan bir beden gibidir."
78,dogru,1.0,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 1.",04.04.2025,04.04.2025 GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANI,metinler,baslik_eslesti,Öyle ise anne babana dön ve onların gönüllerini al.
79,dogru,1.0,Müslim,Birr,Müslim,Birr,4,"Müslim, Birr, 58.",06.06.2025,06.06.2025 KURBAN BAYRAMI: ALLAH’IN KULLARINA İHSAN,metinler,baslik_eslesti,"Müslüman, Müslümanın kardeşidir. Ona zulmetmez, onu düşmana teslim etmez…"
80,dogru,0.921,Müslim,Birr,Müslim,Birr,1,"Müslim, Birr, 59.",15.08.2025,15.08.2025 KUL HAKKI ATEŞTEN GÖMLEKTİR,metinler,baslik_eslesti,"Bir kişi kıyamet günü kıldığı namaz, tuttuğu oruç ve verdiği zekâtla gelir. Ancak dünyada iken birine sövmüş, diğerine iftira atmış, ötekinin malını yemiş, berikinin kanını dökmüş, bir başkasını dövmüştür. İhlal ettiği bu hakların karşılığı olarak onun iyiliklerinden alınıp hak sahiplerine verilir. Şayet hesap tamamlanmadan iyilikleri biterse, mağdur ettiği insanların günahlarından alınarak onun ü"
81,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,1,"Buhârî, Edeb, 111.",08.03.2013,08.03.2013 BİR KUL OLARAK KADIN,metinler,baslik_eslesti,"Ey Enceşe, sakin ol! Kristalleri dikkatli taşı!"
82,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,5,"Buhârî, Edeb, 34.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Yumuşak söz sadakadır.
83,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 31.",28.11.2014,28.11.2014 DİLİN ESİRİ OLMAYALIM!,metinler,baslik_eslesti,Allah'a ve ahiret gününe inanan ya hayır söylesin ya da sussun...
84,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,3,"Buhârî, Edeb, 31.",22.01.2016,22.01.2016 SÖZ AHLAKI,metinler,baslik_eslesti,"Ya hayır söyleyin, ya susun!"
85,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 27.",07.07.2017,07.07.2017 İMANIMIZ VE İNSANLIĞIMIZIN İMTİHANI: MÜL,metinler,baslik_eslesti,"Müminler, birbirlerini sevmede, birbirlerine merhamet ve şefkat göstermede, tıpkı bir organı rahatsızlandığında diğer organları da bu acıyı paylaşan bir bedene benzer."
86,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,10,"Buhârî, Edeb, 83.",10.11.2017,10.11.2017 ÖRNEK İNSAN: MÜMİN,metinler,baslik_eslesti,"Mümin, bir delikten iki defa ısırılmaz."
87,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,1,"Buhârî, Edeb, 78.",25.01.2019,25.01.2019 İSLAM AHLÂKININ ÖZÜ HAYÂDIR,metinler,baslik_eslesti,Öteden beri insanların peygamberlerden öğrenegeldiği bir söz vardır: Utanmıyorsan dilediğini yap!
88,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,6,"Buhârî, Edeb, 77.",25.01.2019,25.01.2019 İSLAM AHLÂKININ ÖZÜ HAYÂDIR,metinler,baslik_eslesti,"Hayâ, ancak hayır getirir."
89,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,3,"Buhârî, Edeb, 33.",01.03.2019,01.03.2019 BEREKET MEVSİMİ: ÜÇ AYLAR,metinler,baslik_eslesti,Her iyilik sadakadır
90,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,6,"Buhârî, Edeb, 76; Müslim, Birr, 107.",13.09.2019,13.09.2019 HER CAN DOKUNULMAZDIR,metinler,baslik_eslesti,"Güçlü kimse, insanları güreşte yenen değildir. Bilakis güçlü kimse öfke anında kendisine hâkim olandır."
91,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,5,"Buhârî, Edeb, 33.",22.05.2020,22.05.2020 BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK,metinler,baslik_eslesti,Her iyilik bir sadakadır.
92,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,4,"Buhârî, Edeb, 83.",10.07.2020,10.07.2020 15 TEMMUZ VE BİRLİK RUHU,metinler,baslik_eslesti,Mümin bir delikten iki defa ısırılmaz.
93,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 36.",02.04.2021,02.04.2021 BİRBİRİMİZİN FARKINDA OLALIM,metinler,baslik_eslesti,"Mümin, mümin kardeşi için birbirine sımsıkı kenetlenmiş tuğlalardan oluşan bir bina gibidir."
94,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 69.",04.02.2022,04.02.2022 SÖZ VE DAVRANIŞLARIMIZDA DOĞRU OLALIM,metinler,baslik_eslesti,"Şüphesiz, doğruluk insanı iyiliğe, iyilik de cennete götürür. Kişi devamlı doğru söyler ve doğruluktan ayrılmazsa Allah katında sıddîk olarak tescillenir. Yalan insanı kötülüğe, kötülük de cehenneme götürür. Kişi devamlı yalan söyler, yalan peşinde koşarsa Allah katında yalancı olarak tescillenir."
95,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 69.",08.04.2022,08.04.2022 RAMAZAN VE DOĞRULUK,metinler,baslik_eslesti,"Doğruluk insanı iyiliğe, iyilik de cennete götürür. Kişi devamlı doğru söyler ve doğruluktan ayrılmazsa Allah katında sıddîk olarak tescillenir…"
96,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 57.",10.03.2023,10.03.2023 MÜMİN GÜVENEN VE GÜVENİLEN KİŞİDİR,metinler,baslik_eslesti,"Sizin en hayırlınız, kendisinden hayır umulan ve asla kötülük beklenmeyendir."
97,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,3,"Buhârî, Edeb, 76; Müslim, Birr, 107.",19.04.2024,19.04.2024 HAYATIN HER ALANINDA ÖFKEMİZE HÂKİM OLAL,metinler,baslik_eslesti,"Gerçek pehlivan güreşte rakibini yenen değil, öfkelendiğinde kendisine hâkim olandır."
98,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 78.",19.07.2024,19.07.2024 MÜSLÜMAN TAKVA SAHİBİDİR,metinler,baslik_eslesti,"İnsanlık, ilk günden beri bütün peygamberlerin üzerinde ittifak ettikleri bir söz öğrenmiştir: Şayet utanmıyorsan dilediğini yap!"
99,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,1,"Buhârî, Edeb, 18.",08.11.2024,08.11.2024 MERHAMET EDEN MERHAMET BULUR,metinler,baslik_eslesti,Merhamet etmeyen kimseye merhamet olunmaz.
100,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,4,"Buhârî, Edeb, 33.",28.03.2025,28.03.2025 RAMAZAN’A VEDA EDERKEN,metinler,baslik_eslesti,Her iyilik bir sadakadır.
101,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,4,"Buhârî, Edeb, 83.",11.07.2025,11.07.2025 SAHİH DİNİ BİLGİNİN ÖNEMİ,metinler,baslik_eslesti,"Mümin, bir delikten iki kere ısırılmaz."
102,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,6,"Buhârî, Edeb, 12.",08.08.2025,08.08.2025 SILA-İ RAHİMLE BEREKETLENEN TATİL,metinler,baslik_eslesti,"Rızkının bol, ömrünün bereketli olmasını arzu eden, akrabalık bağını devam ettirsin."
103,dogru,1.0,Buhârî,Edeb,Buhârî,Edeb,2,"Buhârî, Edeb, 101.",19.12.2025,19.12.2025 HER ANIMIZI EBEDİ KAZANCA DÖNÜŞTÜREBİLİR,metinler,baslik_eslesti,Âdemoğlu zamana kahreder. Hâlbuki zamanı var eden benim! Gece de gündüz de benim elimdedir.
104,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Savm,1,"Buhârî , Savm, 9; Müslim, Sıyâm, 30.",20.07.2012,20.07.2012 “BEN ORUÇLUYUM” DİYEBİLMEK,metinler,baslik_eslesti,İnsanoğlunun yaptığı her şey kendisi içindir. Oruç müstesna. O benim içindir ve onun mükâfatını ben vereceğim…
105,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,5,"Buhârî, Îmân 4.",01.11.2013,01.11.2013 RAHMET’İN HİCRETİ,metinler,baslik_eslesti,"İyi Müslüman, dilinden ve elinden Müslümanların emin olduğu kişidir. Asıl hicret eden de Allah'ın yasakladıklarını terk edendir."
106,eksik_tamamlandi,0.982,Buhârî,-,Buhârî,İman,1,"Buharî, İman, 39.",21.02.2014,21.02.2014 KALB-İ SELİM (III),metinler,baslik_onek,"…Dikkat edin! Vücutta öyle bir et parçası vardır ki o iyi, doğru ve düzgün olursa bütün vücut iyi, doğru ve düzgün olur; o bozulursa bütün vücut bozulur. Dikkat edin! O, kalptir."
107,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,14,"Buhârî, Îmân, 41.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Kişinin kendi ailesi için nafaka temin etmesi sadakadır.
108,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îdeyn,2,"Buhârî, Îdeyn, 3.",24.09.2015,24.09.2015 KURBAN BAYRAMI,metinler,baslik_eslesti,"Bugün ilk işimiz, bayram namazı kılmak, sonra da kurban kesmektir. Böyle yapanlar, sünnetimize uygun davranmış olur."
109,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,2,"Buhârî, Îmân, 29.",15.07.2016,15.07.2016 HAYATIMIZI İBADET KILABİLMEK,metinler,baslik_eslesti,"Dinde, insanın gücünü aşacak uygulamalar yoktur. Takatinin üstünde ibadete kalkışan kimse, dini yaşama konusunda âciz kalır. Bunun için aşırıya kaçmayın!"
110,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,3,"Buhârî, Îmân, 4.",15.12.2017,15.12.2017 KARDEŞLİĞE SAPLANAN HANÇER: GIYBET,metinler,baslik_eslesti,elinden ve dilinden emin olunan insan
111,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,2,"Buhârî, Îmân, 39; Müslim, Müsâkât, 107.",22.12.2017,22.12.2017 HELAL HARAM DUYARLILIĞI,metinler,baslik_eslesti,"Helâl de bellidir, haram da bellidir. İkisinin arasında birtakım şüpheli hususlar vardır ki insanların çoğu bunları bilmezler. Kim şüpheli şeylerden sakınırsa, dinini ve haysiyetini korumuş olur. Kim de şüpheli şeylere düşerse, harama düşmüş olur…"
112,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,1,"Buhârî, Îmân, 37.",11.01.2019,"11.01.2019 İNSANIN KEMAL YOLCULUĞU: İSLAM, İMAN VE ",metinler,baslik_eslesti,"O, Cebrâil idi. Size dininizi öğretmeye gelmişti."
113,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,1,"Buhârî, Îmân, 39.",15.02.2019,15.02.2019 HAYATI YAŞANILIR KILMANIN YOLU: DİN VE M,metinler,baslik_eslesti,"Dikkat edin! Vücutta öyle bir et parçası vardır ki, o iyi, doğru ve düzgün olursa bütün vücut iyi, doğru ve düzgün olur; o bozulursa bütün vücut bozulur. Dikkat edin! O kalptir."
114,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,3,"Buhârî, Îmân, 28.",03.05.2019,03.05.2019 HOŞ GELDİN YA ŞEHR-İ RAMAZAN,metinler,baslik_eslesti,Kim inanarak ve karşılığını Allah'tan bekleyerek Ramazan orucunu tutarsa geçmiş günahları bağışlanır
115,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îdeyn,1,"Buhârî, Îdeyn, 3.",11.08.2019,11.08.2019 KURBAN BAYRAMI,metinler,baslik_eslesti,"Bugün ilk işimiz, bayram namazını kılmak, sonra da kurban kesmektir. Böyle yapanlar sünnetimize uygun davranmış olur."
116,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îdeyn,2,"Buhârî, Îdeyn, 3.",31.07.2020,31.07.2020 KURBAN BAYRAMI: TAKVA YOLCULUĞU,metinler,baslik_eslesti,"Bugün ilk işimiz, bayram namazı kılmak, sonra dönüp kurban kesmektir. Kim böyle yaparsa sünnetimize uymuş olur."
117,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,3,"Buhârî, Îmân, 29.",18.12.2020,18.12.2020 MÜMİN HER İŞİNDE MUTEDİLDİR,metinler,baslik_eslesti,"Aşırıya kaçmayın, dosdoğru yolu tutun ve böyle davrandığınız için alacağınız mükâfattan dolayı sevinin."
118,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,2,"Buhârî, Îmân, 39; Müslim, Müsâkât, 107.",29.04.2022,29.04.2022 HAYATI HELAL KILABİLMEK,metinler,baslik_eslesti,"Helal de bellidir, haram da bellidir. İkisinin arasında birtakım şüpheli hususlar vardır ki insanların çoğu bunları bilmezler. Kim şüpheli şeylerden sakınırsa, dinini ve haysiyetini korumuş olur. Kim de şüpheli şeylere düşerse, harama düşmüş olur…"
119,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îdeyn,2,"Buhârî, Îdeyn, 3.",28.06.2023,28.06.2023 KURBAN BAYRAMI: KARDEŞLİK VE YARDIMLAŞMA,metinler,baslik_eslesti,"Bugün ilk işimiz, bayram namazı kılmak, sonra dönüp kurban kesmektir. Kim böyle yaparsa sünnetimize uymuş olur."
120,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,2,"Buhârî, Îmân, 39.",31.05.2024,31.05.2024 HARAM: ALLAH İLE KUL ARASINDAKİ EN BÜYÜK,metinler,baslik_eslesti,"Helâl bellidir; haram da bellidir. İkisinin arasında birtakım şüpheli şeyler vardır ki insanların çoğu bunları bilmezler. Kim şüpheli şeylerden sakınırsa, dinini ve haysiyetini korumuş olur. Kim de şüpheli şeylere düşerse, harama düşmüş olur."
121,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îdeyn,1,"Buhârî, Îdeyn, 3.",16.06.2024,16.06.2024 KURBAN BAYRAMI,metinler,baslik_eslesti,"Bugün ilk işimiz, bayram namazı kılmak, sonra dönüp kurban kesmektir. Kim böyle yaparsa sünnetimize uymuş olur."
122,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îdeyn,1,"Buhârî, Îdeyn, 3.",06.06.2025,06.06.2025 KURBAN BAYRAMI: ALLAH’IN KULLARINA İHSAN,metinler,baslik_eslesti,"Bugün ilk işimiz, bayram namazı kılmak, sonra da kurban kesmektir. Kim böyle yaparsa sünnetimize uymuş olur."
123,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,7,"Buhârî, Îmân, 8.",29.08.2025,29.08.2025 ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S),metinler,baslik_eslesti,"Sizden biriniz, beni anne ve babasından, çocuğundan ve bütün insanlardan daha çok sevmedikçe tam anlamıyla iman etmiş olmaz."
124,eksik_tamamlandi,1.0,Buhârî,-,Buhârî,Îmân,1,"Buhârî, Îmân, 39.",10.10.2025,10.10.2025 CENÂB-I HAKK’IN NAZARGÂHI: KALP,metinler,baslik_eslesti,"Dikkat edin! Vücutta öyle bir et parçası vardır ki o iyi olursa bedenin tamamı iyi olur. O bozulursa bütün vücut bozulur. Dikkat edin! İşte o et parçası, kalptir."
125,HATALI,0.906,Ebû Dâvûd,Edeb,Hakim,Müstedrek,6,"Hakim, Müstedrek, “Tevbe ve İnâbe” H.no:7632",21.02.2014,15.04.2011 MERHAMET EĞİTİMİ,metinler,baslik_onek+tarih_duzeltildi,"Merhamet, ancak kalbi katılaşmış inançsız bedhahların kalbinden çekilip alınmıştır"
126,HATALI,1.0,Ebû Dâvûd,Edeb,Müslim,Zekât,4,"Müslim, Zekât, 52.",20.03.2015,20.03.2015 İNSANI İYİLİK YAŞATIR,metinler,baslik_eslesti,Her iyilik sadakadır.
127,HATALI,1.0,Ebû Dâvûd,Edeb,Müslim,İmâre,4,"Müslim, İmâre, 30.",20.03.2015,27.03.2015 KUL VE KAMU HAKKI,metinler,baslik_eslesti+tarih_duzeltildi,Sizden kimi bir işte görevlendirirsek ve o da bizden iğne miktarı ya da daha büyük bir şeyi gizlerse bu bir ihanet olur ve kıyamet günü onu (kendi elleriyle) getirir.
128,tur_hatasi,1.0,Ebû Dâvûd,Edeb,Meryem,96,4,"Meryem, 19/96.",20.03.2015,"03.04.2015 HAKİKİ SEVGİ: ALLAH’I SEVMEK, ALLAH İÇİN",metinler,baslik_eslesti+tarih_duzeltildi,"İman edip, salih amel işleyenler var ya, Rahmân olan Allah onları (gönüllere) sevdirecektir."
129,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,9,"Ebu Davud, Edeb 111-112",08.05.2015,"05.06.2015 İSLÂM, IRKÇILIĞIN HER TÜRLÜSÜNÜ REDDEDER",metinler,baslik_eslesti+tarih_duzeltildi,Irkçılığa çağıran bizden değildir. Irkçılık davası uğruna savaşan bizden değildir. Irkçılık davası uğruna ölen de bizden değildir.
130,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,4,"Ebû Dâvûd, Edeb, 58.",16.10.2015,16.10.2015 MERHAMET İKSİRİNİ YUDUMLAYABİLMEK,metinler,baslik_eslesti,Siz yeryüzündekilere merhamet edin ki Yüce Allah da size merhamet etsin.
131,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,4,"Ebû Dâvûd, Edeb, 35.",15.12.2017,15.12.2017 KARDEŞLİĞE SAPLANAN HANÇER: GIYBET,metinler,baslik_eslesti,Birbirinizin gıybetini yapmayın. Gizli hâllerinizi araştırmayın. Çünkü her kim insanların gizli hâllerini araştırırsa Allah da onun gizli hâlini araştırır. Ve neticede onu evinde bile olsa rezil eder.
132,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,2,"Ebû Dâvûd, Edeb, 61.",29.06.2018,29.06.2018 EVLADIN ANNE-BABA ÜZERİNDEKİ HAKLARINDAN,metinler,baslik_eslesti,Siz kıyamet gününde kendi isimleriniz ve babalarınızın isimleriyle çağırılacaksınız. Öyleyse çocuklarınıza güzel isimler koyunuz.
133,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,8,"Ebû Dâvûd, Edeb, 42; Tirmizî, Cenâiz, 34.",05.10.2018,05.10.2018 CENAZE ÂDÂBI: AHİRET YOLCUSUNA,metinler,baslik_eslesti,"Ölülerinizin iyiliklerini anınız, kötülüklerini zikretmekten kaçınınız"
134,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,5,"Ebû Dâvûd, Edeb, 80.",04.01.2019,04.01.2019 ÖZÜ SÖZÜ DOĞRU OLMAK,metinler,baslik_eslesti,"Dikkatli ol, ona bir şey vermemiş olsaydın, bu senin için bir yalan olarak yazılacaktı"
135,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,2,"Ebû Dâvûd, Edeb, 11.",01.02.2019,01.02.2019 RIFK: ALLAH HER İŞTE ZERAFETİ SEVER,metinler,baslik_eslesti,Rıfktan mahrum kalan bir kimse hayrın tamamından mahrum kalmıştır.
136,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,7,"Ebû Dâvûd, Edeb, 80.",09.08.2019,09.08.2019 MÜMİN: HUZURLU TOPLUMUN TEMİNATI,metinler,baslik_eslesti,Her duyduğunu söylemesi kişiye yalan olarak yeter!
137,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,4,"Ebû Dâvûd, Edeb, 60.",31.01.2020,31.01.2020 AFETLERE KARŞI BİLİNÇLİ OLALIM,metinler,baslik_eslesti,"Bir kul, kardeşinin yardımında olduğu sürece, Allah da o kulun yardımcısıdır."
138,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,3,"Ebû Dâvûd, Edeb, 60.",30.04.2021,30.04.2021 İNFAK TOPLUMUN ŞİFASIDIR,metinler,baslik_eslesti,"Kul, kardeşinin yardımında olduğu sürece, Allah da onun yardımcısı olur."
