indeks,eylem,eski,yeni,dipnot_ref
87,duzeltildi,"Müslim,İmare","Nesâi,Gusül ve Teyemmüm","Nesâî, Gusül ve Teyemmüm, 7."
88,tasindi,"Ebû Dâvûd,İlim","Al-i İmran,139",tür karışması
89,tasindi,"İbn Mâce,Sunne","Al-i İmran,147",tür karışması
90,duzeltildi,"Tirmizî,Deav","Buhârî,Umre","Buharî, Umre 1."
91,duzeltildi,"İbn Mâce,Sunne","İbn Mâce,Sunne","İbn Mâce, Sunne, 23."
92,duzeltildi,"İbn Mâce,Rüh","İbn Mâce,Rühûn","İbn Mace, Rühûn, 4."
93,duzeltildi,"Tirmizî,Buy","Tirmizî,Buyû’","Tirmizi, Buyû’, 74."
94,duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 19"
95,duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 19"
96,duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
97,duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 30."
99,duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 59."
100,duzeltildi,"Tirmizî,Sıfatü’l-Kıy","Tirmizî,Sıfatü’l-Kıyâme","Tirmizî, Sıfatü’l-Kıyâme, 1."
105,duzeltildi,"Tirmizî,Daav","Tirmizî,Daavât","Tirmizî, Daavât, 74; Ebû Dâvûd, Vitir, 32."
106,duzeltildi,"Buhârî,Cen","Buhârî,Cenâiz","Buhârî, Cenâiz, 31."
107,duzeltildi,"Buhârî,Cen","Buhârî,Cenâiz","Buhârî, Cenâiz, 43."
108,duzeltildi,"Müslim,Zühd","Müslim,Zühd ve rekâik","Müslim, Zühd ve rekâik, 64."
109,duzeltildi,"Ebû Dâvûd,Edeb","Müslim,Zekât","Müslim, Zekât, 52."
110,duzeltildi,"Ebû Dâvûd,Edeb","Müslim,İmâre","Müslim, İmâre, 30."
111,tasindi,"Ebû Dâvûd,Edeb","Meryem,96",tür karışması
112,duzeltildi,"Ahmed b. Hanbel,-","Ahmed b. Hanbel,","İbn Hanbel, II, 40."
113,duzeltildi,"Tirmizî,Kıraat","İbn Mâce,Nikah","İbn Mâce, Nikah, 50."
114,tasindi,"Müslim,Eym","Mü'minun,1",tür karışması
