dosya,satir,eylem,eski,yeni,gerekce
hadis,352,kirpilmis_duzeltildi,"Buhârî,Tefs","Buhârî,Tefsîr","Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355."
hadis,353,kirpilmis_duzeltildi,"Buhârî,Tefs","Buhârî,Tefsîr","Buhârî, Tefsîr, 74 (1-5); Müddessir, 74/1-5."
hadis,354,kirpilmis_duzeltildi,"Buhârî,Tefs","Buhârî,Tefsîr","Buhârî, Tefsîr, (Fâtiha), 1."
hadis,355,kirpilmis_duzeltildi,"Buhârî,Tefs","Buhârî,Tefsîr","Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355."
hadis,356,kirpilmis_duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 30; Müslim, Zekât, 55."
hadis,357,kirpilmis_duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 10."
hadis,358,kirpilmis_duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 63; Müslim, Îmân, 29"
hadis,359,elle_duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Bölüm adı kırpılmış (Zek -> Zekât). Alıntı atandığı hutbede bulunamadı; kaynak doğru, yalnızca yazım tamamlandı."
hadis,360,kirpilmis_duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 63."
hadis,366,kirpilmis_duzeltildi,"Ebû Dâvûd,Zek","Ebû Dâvûd,Zekât","Ebû Dâvûd, Zekât, 38."
hadis,367,kirpilmis_duzeltildi,"Ebû Dâvûd,Zek","Ebû Dâvûd,Zekât","Ebû Dâvûd, Zekât, 38."
hadis,368,kirpilmis_duzeltildi,"Ebû Dâvûd,Zek","Ebû Dâvûd,Zekât","Ebû Dâvûd, Zekât, 32."
hadis,369,kirpilmis_duzeltildi,"Ebû Dâvûd,Zek","Ebû Dâvûd,Zekât","Ebû Dâvûd, Zekât, 32."
hadis,370,kirpilmis_duzeltildi,"Ebû Dâvûd,Zek","Ebû Dâvûd,Zekât","Ebû Dâvûd, Zekât, 45."
hadis,371,kirpilmis_duzeltildi,"Tirmizî,Diy","Tirmizî,Diyât","Tirmizî, Diyât, 7."
hadis,372,kirpilmis_duzeltildi,"Tirmizî,Diy","Tirmizî,Diyât","Tirmizî, Diyât, 14."
hadis,373,kirpilmis_duzeltildi,"Tirmizî,Diy","Tirmizî,Diyât","Tirmizî, Diyât, 14."
hadis,374,kirpilmis_duzeltildi,"Tirmizî,Diy","Tirmizî,Diyât","Tirmizî, Diyât, 14."
hadis,375,kirpilmis_duzeltildi,"Tirmizî,Diy","Tirmizî,Diyât","Tirmizî, Diyât, 14."
hadis,386,cilt_temizlendi,"Ahmed b. Hanbel,II","Ahmed b. Hanbel,","Ahmed b. Hanbel, II, 400."
hadis,387,cilt_temizlendi,"Ahmed b. Hanbel,II","Ahmed b. Hanbel,","Ahmed b. Hanbel, II, 312."
hadis,388,cilt_temizlendi,"Ahmed b. Hanbel,II","Ahmed b. Hanbel,","Ahmed b. Hanbel, II, 42, 154."
hadis,389,cilt_temizlendi,"Ahmed b. Hanbel,II","Ahmed b. Hanbel,","Ahmed b. Hanbel, II, 316, 350."
hadis,390,kirpilmis_duzeltildi,"Beyhakî,Şüabü’l-","Beyhakî,Şüabü’l-îmân","Beyhakî, Şüabü’l-îmân, 4/334."
hadis,391,kirpilmis_duzeltildi,"Beyhakî,Şüabü’l-","Beyhakî,Şüabü’l-îmân","Beyhakî, Şüabü’l-îmân, 4/334."
hadis,392,kirpilmis_duzeltildi,"Beyhakî,Şüabü’l-","Beyhakî,Şüabü’l-îmân","Beyhakî, Şüabü’l-îmân, 4/334."
hadis,393,kirpilmis_duzeltildi,"Beyhakî,Şüabü’l-","Beyhakî,Şüabü’l-îmân","Beyhakî, Şüabü’l-îmân, 4/334."
hadis,394,kirpilmis_duzeltildi,"Buhârî,Cen","Buhârî,Cenâiz","Buhârî, Cenâiz, 31."
hadis,395,kirpilmis_duzeltildi,"Buhârî,Cen","Buhârî,Cenâiz","Buhârî, Cenâiz, 43."
hadis,396,kirpilmis_duzeltildi,"Buhârî,Cen","Buhârî,Cenâiz","Buhârî, Cenâiz,31."
hadis,397,kirpilmis_duzeltildi,"Buhârî,Cen","Buhârî,Cenâiz","Buhârî, Cenâiz, 36; Müslim, Zekât, 48."
hadis,398,kirpilmis_duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 1; Nesâî, Zekât, 66."
hadis,399,kirpilmis_duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 43."
hadis,400,kirpilmis_duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 1; Nesâî, Zekât, 66."
hadis,401,kirpilmis_duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 1; Nesâî, Zekât, 66."
hadis,402,kirpilmis_duzeltildi,"Buhârî,Mez","Buhârî,Mezâlim","Buhârî, Mezâlim, 3; Müslim, Birr, 58; Tirmizî, Birr, 18."
hadis,403,kirpilmis_duzeltildi,"Buhârî,Mez","Buhârî,Mezâlim","Buhârî, Mezâlim, 34."
hadis,404,kirpilmis_duzeltildi,"Buhârî,Mez","Buhârî,Mezâlim","Buhârî, Mezâlim, 8."
hadis,405,kirpilmis_duzeltildi,"Buhârî,Mez","Buhârî,Mezâlim","Buhârî, Mezâlim, 8."
hadis,410,kirpilmis_duzeltildi,"Buhârî,Tevh","Buhârî,Tevhîd","Buhârî, Tevhîd, 31."
hadis,411,kirpilmis_duzeltildi,"Buhârî,Tevh","Buhârî,Tevhîd","Buhârî, Tevhîd, 15."
hadis,412,kirpilmis_duzeltildi,"Buhârî,Tevh","Buhârî,Tevhîd","Buhârî, Tevhîd, 15; Müslim, Zikir, 21."
hadis,413,kirpilmis_duzeltildi,"Buhârî,Tevh","Buhârî,Tevhîd","Buhârî, Tevhîd, 48."
hadis,422,kirpilmis_duzeltildi,"Müslim,Tah","Müslim,Tahâret","Müslim, Tahâret, 1."
hadis,423,kirpilmis_duzeltildi,"Müslim,Tah","Müslim,Tahâret","Müslim, Tahâret, 1."
hadis,424,kirpilmis_duzeltildi,"Müslim,Tah","Müslim,Tahâret","Müslim, Tahâret, 33."
hadis,425,kirpilmis_duzeltildi,"Müslim,Tah","Müslim,Tahâret","Müslim, Tahâret, 1."
hadis,430,kirpilmis_duzeltildi,"Tirmizî,Büy","Tirmizî,Büyû’","Tirmizî, Büyû’, 4."
hadis,431,kirpilmis_duzeltildi,"Tirmizî,Büy","Tirmizî,Büyû’","Tirmizî, Büyû’, 4."
hadis,432,kirpilmis_duzeltildi,"Tirmizî,Büy","Tirmizî,Büyû’","Tirmizî, Büyû’, 4."
hadis,433,kirpilmis_duzeltildi,"Tirmizî,Büy","Tirmizî,Büyû’","Tirmizî, Büyû’, 4."
hadis,442,kirpilmis_duzeltildi,"Tirmizî,Tah","Tirmizî,Tahâret","Tirmizî, Tahâret, 1."
hadis,443,kirpilmis_duzeltildi,"Tirmizî,Tah","Tirmizî,Tahâret","Tirmizî, Tahâret, 1."
hadis,444,kirpilmis_duzeltildi,"Tirmizî,Tah","Tirmizî,Tahâret","Tirmizî, Tahâret, 1."
hadis,445,kirpilmis_duzeltildi,"Tirmizî,Tah","Tirmizî,Tahâret","Tirmizî, Tahâret, 1."
hadis,450,kirpilmis_duzeltildi,"İbn Mâce,Rüh","İbn Mâce,Rühûn","İbn Mace, Rühûn, 4."
hadis,451,kirpilmis_duzeltildi,"İbn Mâce,Rüh","İbn Mâce,Rühûn","İbn Mâce, Rühûn, 4."
hadis,452,kirpilmis_duzeltildi,"İbn Mâce,Rüh","İbn Mâce,Rühûn","İbn Mâce, Rühûn, 4."
hadis,453,kirpilmis_duzeltildi,"İbn Mâce,Rüh","İbn Mâce,Rühûn","İbn Mâce, Rühûn, 4."
hadis,454,kirpilmis_duzeltildi,"Buhârî,Cih","Buhârî,Cihâd","Buhârî, Cihâd, 62."
hadis,455,kirpilmis_duzeltildi,"Buhârî,Cih","Buhârî,Cihâd","Buhârî, Cihâd, 21."
hadis,456,kirpilmis_duzeltildi,"Buhârî,Cih","Buhârî,Cihâd","Buhârî, Cihâd, 128."
hadis,457,kirpilmis_duzeltildi,"Buhârî,Enbiy","Buhârî,Enbiyâ","Buhârî, Enbiyâ, 48."
hadis,458,kirpilmis_duzeltildi,"Buhârî,Enbiy","Buhârî,Enbiyâ","Buhari, Enbiyâ, 48."
hadis,459,kirpilmis_duzeltildi,"Buhârî,Enbiy","Buhârî,Enbiyâ","Buhârî, Enbiyâ, 50."
hadis,460,kirpilmis_duzeltildi,"Buhârî,Meg","Buhârî,Megâzî","Buhârî, Megâzî, 49."
hadis,461,kirpilmis_duzeltildi,"Buhârî,Meg","Buhârî,Megâzî","Buhârî, Megâzî, 61."
hadis,462,kirpilmis_duzeltildi,"Buhârî,Meg","Buhârî,Megâzî","Buhârî, Megâzî, 82."
hadis,463,kirpilmis_duzeltildi,"Ebû Dâvûd,Lib","Ebû Dâvûd,Libâs","Ebû Dâvûd, Libâs, 14."
hadis,464,kirpilmis_duzeltildi,"Ebû Dâvûd,Lib","Ebû Dâvûd,Libâs","Ebû Dâvûd, Libâs, 4."
hadis,465,kirpilmis_duzeltildi,"Ebû Dâvûd,Lib","Ebû Dâvûd,Libâs","Ebû Dâvûd, Libâs, 4."
hadis,466,kirpilmis_duzeltildi,"Ebû Dâvûd,Sal","Ebû Dâvûd,Salât","Ebû Dâvûd, Salât, 26."
hadis,467,kirpilmis_duzeltildi,"Ebû Dâvûd,Sal","Ebû Dâvûd,Salât","Ebû Dâvûd, Salât, 26."
hadis,468,kirpilmis_duzeltildi,"Ebû Dâvûd,Sal","Ebû Dâvûd,Salât","Ebû Dâvûd, Salât, 26."
hadis,474,yazim_farki,"Hakim,Müstedrek","Hakim,el-Müstedrek","Hakim, el-Müstedrek, IV, 341."
hadis,478,kirpilmis_duzeltildi,"Müslim,Fed","Müslim,Fedâilü’s-Sahâbe","Müslim, Fedâilü’s-Sahâbe, 12."
hadis,479,kirpilmis_duzeltildi,"Müslim,Fed","Müslim,Fedâil","Müslim, Fedâil, 62."
hadis,480,kirpilmis_duzeltildi,"Müslim,Fed","Müslim,Fedâilü’s-sahâbe","Müslim, Fedâilü’s-sahâbe, 75."
hadis,482,tarih_duzeltildi,"Müslim,Hac","Müslim,Hac","Müslim, Hac, 147."
hadis,484,kirpilmis_duzeltildi,"Müslim,Mes","Müslim,Mesâcid","Müslim, Mesâcid, 283."
hadis,485,kirpilmis_duzeltildi,"Müslim,Mes","Müslim,Mesâcid","Müslim, Mesâcid, 288."
hadis,486,kirpilmis_duzeltildi,"Müslim,Mes","Müslim,Mesâcid","Müslim, Mesâcid, 57; İbn Mâce, Edeb, 7."
hadis,487,kirpilmis_duzeltildi,"Müslim,Nik","Müslim,Nikâh","Müslim, Nikâh, 1."
hadis,488,kirpilmis_duzeltildi,"Müslim,Nik","Müslim,Nikâh","Müslim, Nikâh, 79."
hadis,489,kirpilmis_duzeltildi,"Müslim,Nik","Müslim,Nikâh","Müslim, Nikâh, 124."
hadis,490,HATALI+tarih_duzeltildi,"Müslim,Sal","Buhârî,Mezâlim","Buhârî, Mezâlim, 8; Müslim, Birr, 57."
hadis,491,tasindi,"Müslim,Sal","Nisa,93",tür karışması: diğer dosyaya taşındı
hadis,492,kirpilmis_duzeltildi,"Müslim,Sal","Müslim,Salât","Müslim, Salât, 38."
hadis,496,eksik_tamamlandi,"Tirmizî,-","Tirmizî,Îmân","Tirmizî, Îmân, 8; İbn Mâce, Mesâcid, 19."
hadis,497,eksik_tamamlandi,"Tirmizî,-","Tirmizî,Îmân","Tirmizî, Îmân, 8."
hadis,498,eksik_tamamlandi,"Tirmizî,-","Tirmizî,Îmân","Tirmizî, Îmân, 8."
hadis,499,HATALI,"Tirmizî,Kıraat","İbn Mâce,Nikah","İbn Mâce, Nikah, 50."
hadis,500,HATALI+tarih_duzeltildi,"Tirmizî,Kıraat","Tirmizî,Zühd","Tirmizî, Zühd, 11."
hadis,501,elle_duzeltildi,"Tirmizî,Kıraat","İbn Mâce,İkâmetü’s-Salavât","Berat gecesi hadisi. Alıntı 29.05.2015 'TEVBEMİZ BERATIMIZ OLSUN' hutbesine ait; o hutbenin 2 nolu dipnotu: ""İbn Mâce, İkâmetü’s-Salavât, 191"". Eski değer (Tirmizî, Kıraat) yanlış, tarih de yanlıştı."
hadis,505,kirpilmis_duzeltildi,"Tirmizî,Sıf","Tirmizî,Sıfâtü’l-kıyâme","Tirmizî, Sıfâtü’l-kıyâme, 42."
hadis,506,kirpilmis_duzeltildi,"Tirmizî,Sıf","Tirmizî,Sıfâtü’l-kıyâme","Tirmizî, Sıfâtü’l-kıyâme, 1."
hadis,507,kirpilmis_duzeltildi,"Tirmizî,Sıf","Tirmizî,Sıfâtü’l-kıyâme","Tirmizî, Sıfâtü’l-kıyâme, 17."
hadis,508,kirpilmis_duzeltildi,"İbn Mâce,Ahk","İbn Mâce,Ahkâm","İbn Mâce, Ahkâm, 17."
hadis,509,tasindi,"İbn Mâce,Ahk","Taha,132",tür karışması: diğer dosyaya taşındı
hadis,510,kirpilmis_duzeltildi+tarih_duzeltildi,"İbn Mâce,Ahk","İbn Mâce,Ahkâm","İbn Mâce, Ahkâm, 17."
hadis,511,kirpilmis_duzeltildi,"İbn Mâce,Tah","İbn Mâce,Tahâret","İbn Mâce, Tahâret, 48."
hadis,512,kirpilmis_duzeltildi,"İbn Mâce,Tah","İbn Mâce,Tahâret","İbn Mâce, Tahâret, 16."
hadis,513,kirpilmis_duzeltildi,"İbn Mâce,Tah","İbn Mâce,Tahâret","İbn Mâce, Tahâret, 48."
hadis,514,cilt_temizlendi,"Ahmed b. Hanbel,IV","Ahmed b. Hanbel,","Ahmed b. Hanbel, IV, 121; V, 154; VI, 362."
hadis,515,cilt_temizlendi,"Ahmed b. Hanbel,IV","Ahmed b. Hanbel,","Ahmed b. Hanbel, IV, 151."
hadis,516,kirpilmis_duzeltildi,"Beyhakî,Şuabü’l-","Beyhakî,Şuabü’l-îmân","Beyhakî, Şuabü’l-îmân, 3, 39."
hadis,517,kirpilmis_duzeltildi,"Beyhakî,Şuabü’l-","Beyhakî,Şuabü’l-îmân","Beyhakî, Şuabü’l-îmân, 3, 39."
hadis,518,kirpilmis_duzeltildi,"Buhârî,Büy","Buhârî,Büyû’","Buhârî, Büyû’, 15."
hadis,519,kirpilmis_duzeltildi,"Buhârî,Büy","Buhârî,Büyû’","Buhârî, Büyû’, 23."
hadis,520,kirpilmis_duzeltildi,"Buhârî,Ez","Buhârî,Ezân","Buhârî, Ezân, 30."
hadis,521,kirpilmis_duzeltildi,"Buhârî,Ez","Buhârî,Ezân","Buhârî, Ezân, 9."
hadis,522,kirpilmis_duzeltildi,"Buhârî,Mev","Buhârî,Mevâkîtü’s-salât","Buhârî, Mevâkîtü’s-salât, 6."
hadis,523,kirpilmis_duzeltildi,"Buhârî,Mev","Buhârî,Mevâkîtü's-salât","Buhârî, Mevâkîtü's-salât, 14."
hadis,524,HATALI,"Buhârî,Zekat","İbn Mâce,Ticaret","İbn Mâce, Ticaret, 45."
hadis,525,tarih_duzeltildi,"Buhârî,Zekat","Buhârî,Zekat","Buhari Zekat, 10."
hadis,528,kirpilmis_duzeltildi,"Ebû Dâvûd,Büy","Ebû Dâvûd,Büyû’","Ebû Dâvûd, Büyû’, (İcâre), 76."
hadis,529,kirpilmis_duzeltildi,"Ebû Dâvûd,Büy","Ebû Dâvûd,Büyû’ (İcâre)","Ebû Dâvûd, Büyû’ (İcâre), 83."
hadis,530,kirpilmis_duzeltildi,"Ebû Dâvûd,Cen","Ebû Dâvûd,Cenâiz","Ebû Dâvûd, Cenâiz, 54, 56; İbn Mâce, Cenâiz, 23."
hadis,531,kirpilmis_duzeltildi,"Ebû Dâvûd,Cen","Ebû Dâvûd,Cenâiz","Ebû Dâvûd, Cenâiz, 6."
hadis,532,kirpilmis_duzeltildi,"Ebû Dâvûd,Cih","Ebû Dâvûd,Cihâd","Ebû Dâvûd, Cihâd, 31."
hadis,533,kirpilmis_duzeltildi,"Ebû Dâvûd,Cih","Ebû Dâvûd,Cihâd","Ebû Dâvûd, Cihâd, 31."
hadis,534,kirpilmis_duzeltildi,"Ebû Dâvûd,Kad","Ebû Dâvûd,Kadâ’ (Akdiye)","Ebû Dâvûd, Kadâ’ (Akdiye), 31."
hadis,535,kirpilmis_duzeltildi,"Ebû Dâvûd,Kad","Ebû Dâvûd,Kadâ’ (Akdiye)","Ebû Dâvûd, Kadâ’ (Akdiye), 31."
hadis,536,kirpilmis_duzeltildi,"Ebû Dâvûd,Tah","Ebû Dâvûd,Tahâret","Ebû Dâvûd, Tahâret, 94."
hadis,537,kirpilmis_duzeltildi+tarih_duzeltildi,"Ebû Dâvûd,Tah","Ebû Dâvûd,Tahâret","Ebû Dâvûd, Tahâret, 94."
hadis,538,HATALI,"Ebû Dâvûd,İlim","Hakim,el-Müstederek","Hakim el-Müstederek, II, 670."
hadis,539,tasindi,"Ebû Dâvûd,İlim","Al-i İmran,139",tür karışması: diğer dosyaya taşındı
hadis,540,eksik_tamamlandi,"Muvatta,-","Muvatta,İ’tikâf","Muvatta’, İ’tikâf, 6."
hadis,541,eksik_tamamlandi,"Muvatta,-","Muvatta,Hüsnü’l-hulk","Muvatta’, Hüsnü’l-hulk, 4."
hadis,546,kirpilmis_duzeltildi,"Müslim,Müs","Müslim,Müsâkât","Müslim, Müsâkât, 141."
hadis,547,kirpilmis_duzeltildi,"Müslim,Müs","Müslim,Müsâkât","Müslim, Müsâkât, 137."
hadis,548,HATALI,"Müslim,İmare","Nesâi,Gusül ve Teyemmüm","Nesâî, Gusül ve Teyemmüm, 7."
hadis,549,tarih_duzeltildi,"Müslim,İmare","Müslim,İmare","Müslim, İmare, 57"
hadis,550,kirpilmis_duzeltildi,"Tirmizî,Daav","Tirmizî,Daavât","Tirmizî, Daavât, 1."
hadis,551,kirpilmis_duzeltildi,"Tirmizî,Daav","Tirmizî,Daavât","Tirmizî, Daavât, 74; Ebû Dâvûd, Vitir, 32."
hadis,552,kirpilmis_duzeltildi,"Tirmizî,Fed","Tirmizî,Fedâilü’l-cihâd","Tirmizî, Fedâilü’l-cihâd, 2; İbn Hanbel, VI, 22."
hadis,553,kirpilmis_duzeltildi,"Tirmizî,Fed","Tirmizî,Fedâilü’l-cihâd","Tirmizî, Fedâilü’l-cihâd, 12."
hadis,554,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-Kıy","Tirmizî,Sıfatü’l-Kıyâme","Tirmizî, Sıfatü’l-Kıyâme, 1."
hadis,555,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-Kıy","Tirmizî,Sıfatü’l-Kıyâme","Tirmizî, Sıfatü’l-Kıyâme, 42."
hadis,556,kirpilmis_duzeltildi,"Tirmizî,Tefs","Tirmizî,Tefsîru’l-Kur’ân","Tirmizî, Tefsîru’l-Kur’ân, 49."
hadis,557,kirpilmis_duzeltildi,"Tirmizî,Tefs","Tirmizî,Tefsîru’l-Kur’ân","Tirmizî, Tefsîru’l-Kur’ân, 83."
hadis,558,kirpilmis_duzeltildi,"Tirmizî,İm","Tirmizî,İmân","Tirmizî, İmân, 12."
hadis,559,kirpilmis_duzeltildi,"Tirmizî,İm","Tirmizî,İmân","Tirmizî, İmân, 12."
hadis,564,HATALI,"İbn Mâce,Mukaddime","Ahmed b. Hanbel,","İbn Hanbel, II, 381; Muvatta, Hüsnü’l Hulk, 1."
hadis,565,tarih_duzeltildi,"İbn Mâce,Mukaddime","İbn Mâce,Mukaddime","İbn Mâce, Mukaddime, 43."
hadis,568,eksik_tamamlandi,"Ahmed b. Hanbel,-","Ahmed b. Hanbel,","İbn Hanbel, II, 40."
hadis,570,cilt_temizlendi,"Ahmed b. Hanbel,V","Ahmed b. Hanbel,","Ahmed b. Hanbel, V, 411."
hadis,571,cilt_temizlendi,"Ahmed b. Hanbel,XI","Ahmed b. Hanbel,","Ahmed b. Hanbel, XI, 658."
hadis,572,eksik_tamamlandi,"Beyhakî,-","Beyhakî,es-Sünenü’l-kübrâ","Beyhakî, es-Sünenü’l-kübrâ, X, 7."
hadis,573,kirpilmis_duzeltildi,"Buhârî,Bed","Buhârî,Bedʾü’l-vahy","Buhârî, Bedʾü’l-vahy, 3; Müslim, Îmân, 252."
hadis,579,kirpilmis_duzeltildi,"Buhârî,Deav","Buhârî,Deavât","Buhârî, Deavât, 66."
hadis,581,kirpilmis_duzeltildi,"Buhârî,Eh","Buhârî,Ehâdîsü’l-Enbiyâ","Buhârî, Ehâdîsü’l-Enbiyâ, 54."
hadis,583,kirpilmis_duzeltildi,"Buhârî,Fadlü’s-sal","Buhârî,Fadlü’s-salât","Buhârî, Fadlü’s-salât, 1."
hadis,584,kirpilmis_duzeltildi,"Buhârî,Fer","Buhârî,Ferâiz","Buhârî, Ferâiz, 25."
hadis,586,kirpilmis_duzeltildi,"Buhârî,Merd","Buhârî,Merdâ","Buhârî, Merdâ, 1."
hadis,587,kirpilmis_duzeltildi,"Buhârî,Meğ","Buhârî,Meğâzî","Buhârî, Meğâzî, 12; Müslim, Zühd, 6."
hadis,589,kirpilmis_duzeltildi,"Buhârî,Müs","Buhârî,Müsâkât","Buhârî, Müsâkât, 9."
hadis,595,kirpilmis_duzeltildi,"Buhârî,İstikr","Buhârî,İstikrâz","Buhârî, İstikrâz, 20."
hadis,596,kirpilmis_duzeltildi,"Dârimî,Büy","Dârimî,Büyû’","Dârimî, Büyû’, 2."
hadis,597,kirpilmis_duzeltildi,"Ebû Dâvûd,Fiten","Ebû Dâvûd,Fiten ve Melâhim","Ebû Dâvûd, Fiten ve Melâhim, 2."
hadis,598,kirpilmis_duzeltildi,"Ebû Dâvûd,Mel","Ebû Dâvûd,Melâhim","Ebû Dâvûd, Melâhim, 5; İbn Hanbel, V, 278."
hadis,599,kirpilmis_duzeltildi,"Ebû Dâvûd,Nik","Ebû Dâvûd,Nikâh","Ebû Dâvûd, Nikâh, 30-31."
hadis,601,kirpilmis_duzeltildi,"Heysemî,Mecmeu’z-zev","Heysemî,Mecmeu’z-zevâid","Heysemî, Mecmeu’z-zevâid, III, 344."
hadis,603,tasindi,"Müslim,Eym","Mü'minun,1",tür karışması: diğer dosyaya taşındı
hadis,604,kirpilmis_duzeltildi,"Müslim,Kit","Müslim,Kitâbü’l-Fedâil","Müslim, Kitâbü’l-Fedâil, 126, Tirmizî, Şemâil, 167."
hadis,605,kirpilmis_duzeltildi,"Müslim,Rad","Müslim,Radâ’","Müslim, Radâ’, 61."
hadis,607,kirpilmis_duzeltildi,"Müslim,Sıf","Müslim,Sıfâtü’l-münâfikîn","Müslim, Sıfâtü’l-münâfikîn, 81."
hadis,611,kirpilmis_duzeltildi,"Müslim,İm","Müslim,İmân","Müslim, İmân, 22."
hadis,612,kirpilmis_duzeltildi,"Nesâi,Dah","Nesâi,Dahâyâ","Nesâi, Dahâyâ, 42"
hadis,614,tasindi,"Nesâi,İman","Al-i İmran,92",tür karışması: diğer dosyaya taşındı
hadis,615,yazim_farki,"Taberânî,Mu’cem","Taberânî,el-Mu’cemû’l-evsat","Taberânî, el-Mu’cemû’l-evsat, VII, 56."
hadis,616,yazim_farki,"Taberânî,Mu’cemu’l-evsat","Taberânî,el-Mu’cemu’l-evsat","Taberânî, el-Mu’cemu’l-evsat, V, 270."
hadis,617,yazim_farki,"Taberânî,Mu’cemü’l-evsat","Taberânî,el-Mu’cemü’l-evsat","Taberânî, el-Mu’cemü’l-evsat, 1/275."
hadis,618,yazim_farki,"Taberânî,Mu’cemü’l-keb","Taberânî,el-Mu’cemü’l-kebîr","Taberânî, el-Mu’cemü’l-kebîr, XIX, 419."
hadis,619,yazim_farki,"Taberânî,Mu’cemü’s-sağ","Taberânî,el-Mu’cemü’s-sağîr","Taberânî, el-Mu’cemü’s-sağîr, II, 131."
hadis,620,kirpilmis_duzeltildi,"Tirmizî,Ahk","Tirmizî,Ahkâm","Tirmizî, Ahkâm, 36."
hadis,621,kirpilmis_duzeltildi,"Tirmizî,Buy","Tirmizî,Buyû’","Tirmizi, Buyû’, 74."
hadis,626,kirpilmis_duzeltildi,"Tirmizî,Sıfatu’l Kıy","Tirmizî,Sıfatu’l Kıyâme","Tirmizî, Sıfatu’l Kıyâme, 35."
hadis,627,kirpilmis_duzeltildi,"Tirmizî,Sıfatu’l-kıy","Tirmizî,Sıfatu’l-kıyâme","Tirmizî, Sıfatu’l-kıyâme, 1."
hadis,628,kirpilmis_duzeltildi,"Tirmizî,Sıfatü","Tirmizî,Sıfatü‘l-kıyâme","Tirmizî, Sıfatü‘l-kıyâme, 25."
hadis,629,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l","Tirmizî,Sıfatü’l -Kıyame","Tirmizî, Sıfatü’l -Kıyame, 1."
hadis,630,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l- Kıy","Tirmizî,Sıfatü’l- Kıyâme","Tirmizi, Sıfatü’l- Kıyâme, 1."
hadis,632,kirpilmis_duzeltildi,"Tirmizî,Zek","Tirmizî,Zekât","Tirmizî, Zekât, 28."
hadis,633,kirpilmis_duzeltildi,"Tirmizî,Şem","Tirmizî,Şemâil","Tirmizî, Şemâil, 60."
hadis,634,kirpilmis_duzeltildi,"İbn Mâce,Cen","İbn Mâce,Cenâiz","İbn Mâce, Cenâiz, 64."
hadis,635,kirpilmis_duzeltildi,"İbn Mâce,Du","İbn Mâce,Duâ","İbn Mâce, Duâ, 2."
hadis,637,kirpilmis_duzeltildi,"İbn Mâce,Men","İbn Mâce,Menâsik","İbn Mâce, Menâsik, 5."
hadis,638,kirpilmis_duzeltildi,"İbn Mâce,Sıy","İbn Mâce,Sıyâm","İbn Mâce, Sıyâm, 2."
hadis,639,kirpilmis_duzeltildi,"İbn Mâce,Tic","İbn Mâce,Ticâret","İbn Mâce, Ticâret, 29."
hadis,641,kirpilmis_duzeltildi,"İbn Mâce,İbn M","İbn Mâce,İbn Mâce","İbn Mâce, İbn Mâce, Sunne, 20."
