dosya,satir,eylem,eski,yeni,gerekce
hadis,116,eksik_tamamlandi,"Buhârî,-","Buhârî,Îdeyn","Buhârî, Îdeyn, 3."
hadis,117,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 29."
hadis,118,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 39; Müslim, Müsâkât, 107."
hadis,119,eksik_tamamlandi,"Buhârî,-","Buhârî,Îdeyn","Buhârî, Îdeyn, 3."
hadis,120,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 39."
hadis,121,eksik_tamamlandi,"Buhârî,-","Buhârî,Îdeyn","Buhârî, Îdeyn, 3."
hadis,122,eksik_tamamlandi,"Buhârî,-","Buhârî,Îdeyn","Buhârî, Îdeyn, 3."
hadis,123,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 8."
hadis,124,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 39."
hadis,125,HATALI+tarih_duzeltildi,"Ebû Dâvûd,Edeb","Hakim,Müstedrek","Hakim, Müstedrek, “Tevbe ve İnâbe” H.no:7632"
hadis,126,HATALI,"Ebû Dâvûd,Edeb","Müslim,Zekât","Müslim, Zekât, 52."
hadis,127,HATALI+tarih_duzeltildi,"Ebû Dâvûd,Edeb","Müslim,İmâre","Müslim, İmâre, 30."
hadis,128,tasindi,"Ebû Dâvûd,Edeb","Meryem,96",tür karışması: diğer dosyaya taşındı
hadis,129,tarih_duzeltildi,"Ebû Dâvûd,Edeb","Ebû Dâvûd,Edeb","Ebu Davud, Edeb 111-112"
hadis,145,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 78."
hadis,146,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
hadis,147,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 147."
hadis,148,tasindi,"Müslim,-","Hud,114",tür karışması: diğer dosyaya taşındı
hadis,149,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 65."
hadis,150,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 78."
hadis,151,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 73."
hadis,152,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
hadis,153,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 147."
hadis,154,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 147; Tirmizî, Edeb, 41."
hadis,155,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 78."
hadis,156,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
hadis,157,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 73."
hadis,158,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
hadis,159,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 95."
hadis,160,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
hadis,161,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 29."
hadis,162,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 78."
hadis,163,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 57."
hadis,164,eksik_tamamlandi,"Müslim,-","Müslim,Îmân","Müslim, Îmân, 164."
hadis,165,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 1."
hadis,166,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 59."
hadis,167,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 59."
hadis,168,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 17."
hadis,169,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 1."
hadis,170,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 51; Ebû Dâvûd, Edeb, 35."
hadis,171,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 33."
hadis,172,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 2."
hadis,173,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 42."
hadis,174,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 60."
hadis,175,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 33."
hadis,176,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 17."
hadis,177,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 25."
hadis,178,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 1."
hadis,179,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 33."
hadis,180,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 1."
hadis,181,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 59."
hadis,182,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 17."
hadis,183,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 42."
hadis,184,kirpilmis_duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 17."
hadis,185,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 31."
hadis,186,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 163."
hadis,187,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
hadis,188,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
