hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2023-0505,05.05.2023,,Genel + CB seçimi 1. tur öncesi (9 gün),6 Şubat Kahramanmaraş depremleri,
2023-1205,12.05.2023,,Genel + CB seçimi 1. tur öncesi (2 gün),,
2023-1905,19.05.2023,,Genel + CB seçimi 1. tur sonrası (5 gün); CB seçimi 2. tur öncesi (9 gün),,
2023-2605,26.05.2023,,Genel + CB seçimi 1. tur sonrası (12 gün); CB seçimi 2. tur öncesi (2 gün),,
2023-0206,02.06.2023,,CB seçimi 2. tur sonrası (5 gün),,
2023-0906,09.06.2023,,CB seçimi 2. tur sonrası (12 gün),,
2023-1606,16.06.2023,,,,
2023-2306,23.06.2023,Kurban Bayramı,,,
2023-2806,28.06.2023,Kurban Bayramı,,,
2023-3006,30.06.2023,Kurban Bayramı,,,
2023-0707,07.07.2023,,,,
2023-1407,14.07.2023,,,,
2023-2107,21.07.2023,,,,
2023-2807,28.07.2023,,,,
2023-0408,04.08.2023,,,,
2023-1108,11.08.2023,,,,
2023-1808,18.08.2023,,,,
2023-2508,25.08.2023,,,,
2023-0109,01.09.2023,,,,
2023-0809,08.09.2023,,,,
2023-1509,15.09.2023,,,,
2023-2209,22.09.2023,Mevlid Kandili,,,
2023-2909,29.09.2023,Mevlid Kandili,,,
2023-0610,06.10.2023,,,,
2023-1310,13.10.2023,,,,
2023-2010,20.10.2023,,,,
2023-2710,27.10.2023,,,,
2023-0311,03.11.2023,,,,
2023-1011,10.11.2023,,,,
2023-1711,17.11.2023,,,,
2023-2411,24.11.2023,,,,
2023-0112,01.12.2023,,,,
2023-0812,08.12.2023,,,,
2023-1512,15.12.2023,,,,
2023-2212,22.12.2023,,,,
2023-2912,29.12.2023,,,,
2024-0501,05.01.2024,Regaib Kandili,,,
2024-1201,12.01.2024,Regaib Kandili,,,
2024-1901,19.01.2024,,,,
2024-2601,26.01.2024,,,,
2024-0202,02.02.2024,Miraç Kandili,,,
2024-0902,09.02.2024,Miraç Kandili,,,
2024-1602,16.02.2024,,,,
2024-2302,23.02.2024,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2024-0103,01.03.2024,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2024-0803,08.03.2024,Ramazan başlangıcı,,,
2024-1503,15.03.2024,Ramazan başlangıcı,,,
2024-2203,22.03.2024,Ramazan içi,Yerel seçim öncesi (9 gün),,
2024-2903,29.03.2024,Ramazan içi,Yerel seçim öncesi (2 gün),,
2024-0504,05.04.2024,Kadir Gecesi; Ramazan Bayramı,Yerel seçim sonrası (5 gün),,
2024-1004,10.04.2024,Kadir Gecesi; Ramazan Bayramı,Yerel seçim sonrası (10 gün),,
2024-1204,12.04.2024,Kadir Gecesi; Ramazan Bayramı,Yerel seçim sonrası (12 gün),,
2024-1904,19.04.2024,,,,
2024-2604,26.04.2024,,,,
2024-0305,03.05.2024,,,,
2024-1005,10.05.2024,,,,
2024-1705,17.05.2024,,,,
2024-2405,24.05.2024,,,,
2024-3105,31.05.2024,,,,
2024-0706,07.06.2024,,,,
2024-1406,14.06.2024,Kurban Bayramı,,,
2024-1606,16.06.2024,Kurban Bayramı,,,
2024-2106,21.06.2024,Kurban Bayramı,,,
2024-2806,28.06.2024,,,,
2024-0507,05.07.2024,,,,
2024-1207,12.07.2024,,,,
2024-1907,19.07.2024,,,,
2024-2607,26.07.2024,,,,
2024-0208,02.08.2024,,,,
2024-0908,09.08.2024,,,,
2024-1608,16.08.2024,,,,
2024-2308,23.08.2024,,,,
2024-3008,30.08.2024,,,,
2024-0609,06.09.2024,,,,
2024-1309,13.09.2024,Mevlid Kandili,,,
2024-2009,20.09.2024,Mevlid Kandili,,,
2024-2709,27.09.2024,,,,
2024-0410,04.10.2024,,,,
2024-1110,11.10.2024,,,,
2024-1810,18.10.2024,,,,
2024-2510,25.10.2024,,,,
2024-0111,01.11.2024,,,,
2024-0811,08.11.2024,,,,
2024-1511,15.11.2024,,,,
2024-2211,22.11.2024,,,,
2024-2911,29.11.2024,,,,
2024-0612,06.12.2024,,,,
2024-1312,13.12.2024,,,,
2024-2012,20.12.2024,,,,
2024-2712,27.12.2024,Regaib Kandili,,,
2025-0301,03.01.2025,Regaib Kandili,,,
2025-1001,10.01.2025,,,,
2025-1701,17.01.2025,,,,
2025-2401,24.01.2025,Miraç Kandili,,,
2025-3101,31.01.2025,Miraç Kandili,,,
2025-0702,07.02.2025,,,,
2025-1402,14.02.2025,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2025-2102,21.02.2025,,,,
2025-2802,28.02.2025,Ramazan başlangıcı,,,
2025-0703,07.03.2025,Ramazan başlangıcı,,,
2025-1403,14.03.2025,Ramazan içi,,,
2025-2103,21.03.2025,Kadir Gecesi,,,
2025-2803,28.03.2025,Kadir Gecesi; Ramazan Bayramı,,,
2025-3003,30.03.2025,Kadir Gecesi; Ramazan Bayramı,,,
2025-0404,04.04.2025,Ramazan Bayramı,,,
2025-1104,11.04.2025,,,,
2025-1804,18.04.2025,,,,
2025-2504,25.04.2025,,,,
2025-0205,02.05.2025,,,,
2025-0905,09.05.2025,,,,
2025-1605,16.05.2025,,,,
2025-2305,23.05.2025,,,,
2025-3005,30.05.2025,,,,
2025-0606,06.06.2025,Kurban Bayramı,,,
2025-1306,13.06.2025,,,,
2025-2006,20.06.2025,,,,
2025-2706,27.06.2025,,,,
2025-0407,04.07.2025,,,,
2025-1107,11.07.2025,,,,
2025-1807,18.07.2025,,,,
2025-2507,25.07.2025,,,,
2025-0108,01.08.2025,,,,
2025-0808,08.08.2025,,,,
2025-1508,15.08.2025,,,,
2025-2208,22.08.2025,,,,
2025-2908,29.08.2025,Mevlid Kandili,,,
2025-0509,05.09.2025,Mevlid Kandili,,,
2025-1209,12.09.2025,,,,
2025-1909,19.09.2025,,,,
2025-2609,26.09.2025,,,,
2025-0310,03.10.2025,,,,
2025-1010,10.10.2025,,,,
2025-1710,17.10.2025,,,,
2025-2410,24.10.2025,,,,
2025-3110,31.10.2025,,,,
2025-0711,07.11.2025,,,,
2025-1411,14.11.2025,,,,
2025-2111,21.11.2025,,,,
2025-2811,28.11.2025,,,,
2025-0512,05.12.2025,,,,
2025-1212,12.12.2025,,,,
2025-1912,19.12.2025,,,,
2025-2612,26.12.2025,,,,
2026-0901,09.01.2026,Miraç Kandili,,,
2026-2301,23.01.2026,,,,
2026-3001,30.01.2026,Berat Kandili,,,
2026-0602,06.02.2026,Berat Kandili,,,
2026-1302,13.02.2026,Ramazan başlangıcı,,,
2026-2002,20.02.2026,Ramazan başlangıcı,,,
2026-2702,27.02.2026,Ramazan içi,,,
2026-0603,06.03.2026,Ramazan içi,,,
2026-1303,13.03.2026,Kadir Gecesi,,,
2026-2003,20.03.2026,Kadir Gecesi; Ramazan Bayramı,,,
2026-2703,27.03.2026,,,,
2026-0304,03.04.2026,,,,
2026-1004,10.04.2026,,,,
2026-1704,17.04.2026,,,,
2026-2404,24.04.2026,,,,
2026-0105,01.05.2026,,,,
2026-0805,08.05.2026,,,,
2026-1505,15.05.2026,,,,
2026-2205,22.05.2026,Kurban Bayramı,,,
2026-2705,27.05.2026,Kurban Bayramı,,,
2026-2905,29.05.2026,Kurban Bayramı,,,
2026-0506,05.06.2026,,,,
2026-1206,12.06.2026,Hicri Yılbaşı,,,
2026-1906,19.06.2026,Hicri Yılbaşı; Aşure Günü,,,
2026-2606,26.06.2026,Aşure Günü,,,
2026-0307,03.07.2026,,,,
2026-1007,10.07.2026,,,,
2026-1707,17.07.2026,,,,
