hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2015-2808,28.08.2015,,,,
2015-0409,04.09.2015,,,,
2015-1109,11.09.2015,,,,
2015-1809,18.09.2015,Kurban Bayramı,,,
2015-2409,24.09.2015,Kurban Bayramı,,,
2015-0210,02.10.2015,,,,
2015-0910,09.10.2015,,,,
2015-1610,16.10.2015,,,Ankara Gar saldırısı (+6 gün),
2015-2310,23.10.2015,,"Genel seçim (Kasım, yenileme) öncesi (9 gün)",Ankara Gar saldırısı (+13 gün),
2015-3010,30.10.2015,,"Genel seçim (Kasım, yenileme) öncesi (2 gün)",Ankara Gar saldırısı (+20 gün),
2015-0611,06.11.2015,,"Genel seçim (Kasım, yenileme) sonrası (5 gün)",Ankara Gar saldırısı (+27 gün),
2015-1311,13.11.2015,,"Genel seçim (Kasım, yenileme) sonrası (12 gün)",,
2015-2011,20.11.2015,,,,
2015-2711,27.11.2015,,,,
2015-0412,04.12.2015,,,,
2015-1112,11.12.2015,,,,
2015-1812,18.12.2015,Mevlid Kandili,,,
2015-2512,25.12.2015,Mevlid Kandili,,,
2016-0101,01.01.2016,,,,
2016-0801,08.01.2016,,,,
2016-1501,15.01.2016,,,,
2016-2201,22.01.2016,,,,
2016-2901,29.01.2016,,,,
2016-0502,05.02.2016,,,,
2016-1202,12.02.2016,,,,
2016-1902,19.02.2016,,,,
2016-2602,26.02.2016,,,,
2016-0403,04.03.2016,,,,
2016-1103,11.03.2016,,,,
2016-1803,18.03.2016,,,,
2016-2503,25.03.2016,,,,
2016-0104,01.04.2016,Regaib Kandili,,,
2016-0804,08.04.2016,Regaib Kandili,,,
2016-1504,15.04.2016,,,,
2016-2204,22.04.2016,,,,
2016-2904,29.04.2016,Miraç Kandili,,,
2016-0605,06.05.2016,Miraç Kandili,,,
2016-1305,13.05.2016,,,,
2016-2005,20.05.2016,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2016-2705,27.05.2016,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2016-0306,03.06.2016,Ramazan başlangıcı,,,
2016-1006,10.06.2016,Ramazan başlangıcı,,,
2016-1706,17.06.2016,Ramazan içi,,,
2016-2406,24.06.2016,Ramazan içi,,,
2016-0107,01.07.2016,Kadir Gecesi; Ramazan Bayramı,,,
2016-0507,05.07.2016,Kadir Gecesi; Ramazan Bayramı,,,
2016-0807,08.07.2016,Kadir Gecesi; Ramazan Bayramı,,,
2016-1507,15.07.2016,,,15 Temmuz darbe girişimi (+0 gün),
2016-2207,22.07.2016,,,15 Temmuz darbe girişimi (+7 gün),
2016-2907,29.07.2016,,,15 Temmuz darbe girişimi (+14 gün),
2016-0508,05.08.2016,,,15 Temmuz darbe girişimi (+21 gün),
2016-1208,12.08.2016,,,15 Temmuz darbe girişimi (+28 gün),
2016-1908,19.08.2016,,,,
2016-2608,26.08.2016,,,,
2016-0209,02.09.2016,,,,
2016-0909,09.09.2016,Kurban Bayramı,,,
2016-1209,12.09.2016,Kurban Bayramı,,,
2016-1609,16.09.2016,Kurban Bayramı,,,
2016-2309,23.09.2016,,,,
2016-3009,30.09.2016,,,,
2016-0710,07.10.2016,,,,
2016-1410,14.10.2016,,,,
2016-2110,21.10.2016,,,,
2016-2810,28.10.2016,,,,
2016-0411,04.11.2016,,,,
2016-1111,11.11.2016,,,,
2016-1811,18.11.2016,,,,
2016-2511,25.11.2016,,,,
2016-0212,02.12.2016,,,Aladağ yurt yangını (+3 gün),
2016-0912,09.12.2016,Mevlid Kandili,,Aladağ yurt yangını (+10 gün),
